category2,role,category1,username,vote,timestamp,category2-2,name,category1-2
Dice:1017,normalUser,Puzzle:1028,xayide,8,2021-01-22 19:55:43.014,Novel-based:1093,The Game of Great Detectives,Card Game:1002
Modern Warfare:1069,normalUser,Bluffing:1023,webalong,8,2021-01-22 19:42:17.6,Educational:1094,Name That Union,Card Game:1002
Number:1098,influencer,Novel-Based:1093,crisfmartinelli,8,2021-01-22 19:51:42.266,null,Pic-Etape,Children's Game:1041
Card Game:1002,normalUser,Modern Warfare:1069,penguin_girl,8,2021-01-22 19:46:49.11,null,Pic-Etape,Children's Game:1041
Transportation:1011,normalUser,Party Game:1030,kjyost,8,2021-01-22 19:46:58.273,null,Taste Taiwan: Princess,Educational:1094
Children's Game:1041,normalUser,Murder/Mystery:1040,fenrirsfangs,8,2021-01-22 19:32:40.29,null,The Game of Shopping at the Supermarket,Children's Game:1041
Spies/Secret Agents:1081,normalUser,Murder/Mystery:1040,fadetoblack1183,8,2021-01-22 19:26:26.804,Trivia:1027,Pasha,Children's Game:1041
Children's Game:1041,normalUser,Deduction:1039,wckennyme,8,2021-01-22 19:35:49.354,Print & Play:1120,First Manassas: July 21st 1861,American Civil War:1048
Book:1117,normalUser,Medieval:1035,mattw705,8,2021-01-22 19:31:53.157,Dice:1017,Perfect Picnic,Children's Game:1041
Print & Play:1120,influencer,Movies/TV/Radio Theme:1064,bf5man,8,2021-01-22 19:40:06.147,null,Hulo!,Word Game:1025
Dice:1017,influencer,Murder/Mystery:1040,kelko13,8,2021-01-22 19:47:27.195,Action / Dexterity:1032,Froggy Comes Home,Abstract Strategy:1009
Aviation/Flight:2650,normalUser,Party Game:1030,allaboutjack,8,2021-01-22 19:58:47.535,Humor:1079,Witty Bananas,Abstract Strategy:1009
Economic:1021,normalUser,Humor:1079,gonnahavemesomefun,8,2021-01-22 19:38:36.29,null,The Roatan Island Game,Travel:1097
Collectible Components:1044,normalUser,Real-time:1037,jstephenpeek,8,2021-01-22 19:34:19.295,American Revolutionary War:1075,Wargamer's Guide to the American Revolution,Age of Reason:2726
Memory:1045,normalUser,Adventure:1022,sexy boy,8,2021-01-22 19:54:55.839,Aviation / Flight:2650,Target For Tonight,Action / Dexterity:1032
Racing:1031,normalUser,Humor:1079,vicarsteve,8,2021-01-22 19:33:15.427,Comic Book / Strip:1116,Dick Tracy Target Game,Action / Dexterity:1032
Science Fiction:1016,normalUser,Travel:1097,cooper52,8,2021-01-22 19:55:46.907,Print & Play:1120,Frog and Toad,Animals:1089
Economic:1021,normalUser,Science Fiction:1016,jominican,8,2021-01-22 20:03:17.611,null,The World's Greatest Hockey Game,Sports:1038
Napoleonic:1051,normalUser,Novel-Based:1093,lukeholland,8,2021-01-22 19:43:00.187,Party Game:1030,ni Oui ni Non: Autour du Monde,Card Game:1002
Print & Play:1120,influencer,Bluffing:1023,rockhard,8,2021-01-22 19:45:14.172,Children's Game:1041,Snoopy Dodgem Game,Action / Dexterity:1032
Ancient:1050,normalUser,Deduction:1039,michael c,8,2021-01-22 19:58:45.982,null,Hanabi: Festival,Card Game:1002
Action/Dexterity:1032,normalUser,Word-game:1025,sadguardian,8,2021-01-22 19:44:18.057,Trivia:1027,Be a Broadway Star!,Music:1054
Exploration:1020,normalUser,World War II: 1049,zerkenpg,8,2021-01-22 19:58:24.986,Memory:1045,I.Q. Games: Wonders of the World,Educational:1094
Transportation:1011,normalUser,Territory Building:1086,howeman,8,2021-01-22 19:34:11.962,Children's Game:1041,Crazy Cakes,Action / Dexterity:1032
World War II: 1049,normalUser,Action/Dexterity:1032,barpalis,8,2021-01-22 20:02:11.099,Trivia:1027,La Boîte à culture générale,Card Game:1002
Sports:1038,normalUser,Animals:1089,thepalmers4,8,2021-01-22 20:01:10.749,Sports:1038,Hockey Bones,Dice:1017
Adventure:1022,normalUser,Number:1098,petitgirard123,8,2021-01-22 19:47:36.57,Deduction:1039,Krimi Total: Das Gift der Rivalen,Bluffing:1023
Medieval:1035,normalUser,Deduction:1039,bycia7,8,2021-01-22 19:33:47.345,Print & Play:1120,Gameshop Workday,Dice:1017
Spies/Secret Agents:1081,normalUser,Abstact Strategy:1009,kipernicus,8,2021-01-22 19:50:03.376,Print & Play:1120,SQUAR3,Abstract Strategy:1009
Party Game:1030,influencer,Animals:1089,accelerator,8,2021-01-22 19:56:39.78,Print & Play:1120,Throne Maker,Dice:1017
Racing:1031,influencer,Medical:2145,watti,8,2021-01-22 19:49:00.785,Humor:1079,Adventurous Apples To Apples Snack Pack,Card Game:1002
Party Game:1030,normalUser,Ancient:1050,eduardofx,8,2021-01-22 19:23:47.226,null,Io canto,Movies / TV / Radio theme:1064
Deduction:1039,moderator,Trains:1034,jameswoodward,8,2021-01-22 19:32:54.198,Children's Game:1041,Hoppsan,Action / Dexterity:1032
Zombies:2481,normalUser,Spies/Secret Agents:1081,zgorzi,8,2021-01-22 19:24:25.432,Movies / TV / Radio theme:1064,Pazaak,Card Game:1002
Wargame:1019,normalUser,Dice:1017,golikua,8,2021-01-22 19:25:24.809,Horror:1024,Creature Dice,Dice:1017
Deduction:1039,influencer,Dice:1017,scootymitts,8,2021-01-22 19:22:39.656,Economic:1021,Leben in Wuppertal,Dice:1017
World War II: 1049,normalUser,Puzzle:1028,maximus prime,8,2021-01-22 19:57:35.224,Educational:1094,Silhouette Pocket,Card Game:1002
Abstact Strategy:1009,normalUser,Travel:1097,shaq88,8,2021-01-22 19:44:22.29,Economic:1021,Leben in Bielefeld,Dice:1017
Miniatures:1047,normalUser,Humor:1079,blackguard,8,2021-01-22 19:37:03.384,null,Ludusfidelis,Racing:1031
Science Fiction:1016,normalUser,World War II: 1049,ninjasushii,8,2021-01-22 19:43:09.734,Puzzle:1028,Pentominoes,Abstract Strategy:1009
Educational:1094,normalUser,Racing:1031,liottalaw,8,2021-01-22 19:45:03.687,null,Shuffle Puck,Action / Dexterity:1032
Medieval:1035,normalUser,Negotiation:1026,thanksforallthefish,8,2021-01-22 19:52:03.749,Print & Play:1120,AstroSmashers,Action / Dexterity:1032
Sports:1038,normalUser,Medieval:1035,mylantus,8,2021-01-22 19:55:18.55,Science Fiction:1016,Metacell: Genesis – The Card Game,Card Game:1002
Word-game:1025,normalUser,Miniatures:1047,meryldf,8,2021-01-22 20:02:03.477,Print & Play:1120,Iron Horses,American West:1055
Puzzle:1028,normalUser,Ancient:1050,phobosmalik,8,2021-01-22 19:37:51.959,Party Game:1030,Animalacious,Animals:1089
Zombies:2481,normalUser,Dice:1017,wakandaman,8,2021-01-22 19:39:54.943,null,Run Sheepee Run,Abstract Strategy:1009
Word-game:1025,normalUser,Book:1117,elegant_chaos,8,2021-01-22 19:58:49.009,null,Doctor Wars: The Hospital Card Game,Medical:2145
Spies/Secret Agents:1081,normalUser,Party Game:1030,nachocor66,8,2021-01-22 19:54:08.562,Dice:1017,"Sticks, Stones and Dragonflame",Bluffing:1023
Economic:1021,influencer,Animals:1089,misjunja,8,2021-01-22 19:38:12.6,Medieval:1035,Castilion,Children's Game:1041
Science Fiction:1016,influencer,Wargame:1019,nikephorous,8,2021-01-22 19:51:39.866,Educational:1094,ZnajZnak: Monte Cassino – M Zestaw,Card Game:1002
Ancient:1050,normalUser,Adventure:1022,majorhobbit,8,2021-01-22 19:51:41.456,Card Game:1002,Hundspelet,Animals:1089
Fantasy:1010,normalUser,Adventure:1022,choubynet,8,2021-01-22 19:58:17.965,Negotiation:1026,Monopoly: Zappos,Economic:1021
Collectible Components:1044,influencer,Ancient:1050,rated r superstar,8,2021-01-22 19:26:02.214,Negotiation:1026,Monopoly: Dr. Ochel Immoplus N.V.,Economic:1021
Adventure:1022,normalUser,Humor:1079,sexecutioner,8,2021-01-22 19:44:04.233,Print & Play:1120,Paper Football,Action / Dexterity:1032
Book:1117,normalUser,Sports:1038,tananka,8,2021-01-22 19:28:17.906,null,Banquet,Animals:1089
World War II: 1049,normalUser,Miniatures:1047,johann1947,8,2021-01-22 19:25:21.757,Negotiation:1026,Monopoly: Aldeburgh,Economic:1021
Card Game:1002,influencer,Book:1117,eembc bongo,8,2021-01-22 19:55:05.276,Educational:1094,Przepustka,Children's Game:1041
Spies/Secret Agents:1081,normalUser,Real-time:1037,elusivebigfoot,8,2021-01-22 19:42:07.26,Card Game:1002,Ultimate Werewolf: Deluxe Edition For Kickstarter,Bluffing:1023
Humor:1079,influencer,Racing:1031,idlesoul,8,2021-01-22 20:02:37.609,Educational:1094,Wenn ich groß bin ...,Children's Game:1041
Travel:1097,normalUser,Deduction:1039,gerardesparza,8,2021-01-22 19:23:50.066,null,Hawaiki,null
Collectible Components:1044,normalUser,Modern Warfare:1069,katarzyna,8,2021-01-22 19:53:54.576,null,BrainBites: Myths & Legends,Trivia:1027
Novel-Based:1093,normalUser,Territory Building:1086,rsartori,8,2021-01-22 19:44:41.661,Economic:1021,Synergy: A Business Strategy Game,Dice:1017
Exploration:1020,normalUser,Trains:1034,meggara,8,2021-01-22 19:27:54.777,Political:1001,Kard és Korona,Medieval:1035
Card Game:1002,normalUser,Humor:1079,explorador,8,2021-01-22 19:25:48.301,Electronic:1072,Kunterbuntes Lernmobil,Educational:1094
Educational:1094,normalUser,Racing:1031,ilicitus,8,2021-01-22 19:49:09.427,Transportation:1011,Santa Showdown,Humor:1079
Transportation:1011,normalUser,Sports:1038,gamergeekin,8,2021-01-22 19:54:28.84,Educational:1094,Uppsala Edizione Vacanze,Bluffing:1023
Movies/TV/Radio Theme:1064,normalUser,Medieval:1035,hllambis,8,2021-01-22 20:01:17.731,null,Colorfind,Children's Game:1041
Movies/TV/Radio Theme:1064,influencer,Exploration:1020,irvancode,8,2021-01-22 19:36:04.335,Fantasy:1010,Munchkin 1+2,Card Game:1002
Fighting:1046,normalUser,Napoleonic:1051,franklin051579,8,2021-01-22 19:44:48.364,Children's Game:1041,Have you ever Paint with...Cards!,Card Game:1002
Travel:1097,normalUser,Adventure:1022,allisonwonderland,8,2021-01-22 19:39:28.577,Card Game:1002,Wolf in the Village,Bluffing:1023
Fantasy:1010,normalUser,Collectible Components:1044,tazukos,8,2021-01-22 19:26:42.657,null,Supremacía,World War I:1065
Print & Play:1120,normalUser,Racing:1031,drentok,8,2021-01-22 19:29:39.797,null,The Game of Life: Empire,Economic:1021
Adventure:1022,normalUser,World War II: 1049,murse80,8,2021-01-22 20:03:27.123,null,The Game of Sixty-Six,Math:1104
Collectible Components:1044,influencer,Fighting:1046,biglale,8,2021-01-22 19:49:17.476,Dice:1017,Cantabile Blitz,Action / Dexterity:1032
Animals:1089,normalUser,Children's Game:1041,jdevereaux,8,2021-01-22 19:54:41.557,null,Bravehart,Medieval:1035
Ancient:1050,normalUser,Party Game:1030,jtreeger,8,2021-01-22 19:31:35.684,Movies / TV / Radio theme:1064,Batman Game,Book:1117
Exploration:1020,normalUser,Adventure:1022,signor darcy,8,2021-01-22 19:57:21.544,null,Peach Snaps,Card Game:1002
Number:1098,normalUser,Puzzle:1028,aldebaran81,8,2021-01-22 19:54:12.315,null,Red Scare Redux,Card Game:1002
Science Fiction:1016,normalUser,Medieval:1035,notbrian,8,2021-01-22 19:28:58.73,null,Spider Island,null
Territory Building:1086,moderator,Napoleonic:1051,christopherdgraves,8,2021-01-22 19:45:19.048,Card Game:1002,Eight Cards,Bluffing:1023
Book:1117,influencer,Educational:1094,maria_lyng,8,2021-01-22 19:43:42.118,Trivia:1027,Kwis 't!,Bluffing:1023
Party Game:1030,normalUser,Word-game:1025,alifaghihy,8,2021-01-22 19:28:24.371,Print & Play:1120,Virusbomb,Medical:2145
Word-game:1025,normalUser,Exploration:1020,javiervastag,8,2021-01-22 20:00:50.312,null,Som i Serem Joc,Trivia:1027
Zombies:2481,moderator,Puzzle:1028,warpedlord,8,2021-01-22 19:42:49.913,Science Fiction:1016,Star Wars: Family Feud,Movies / TV / Radio theme:1064
Racing:1031,normalUser,Fighting:1046,ray hughes,8,2021-01-22 19:45:49.481,Fighting:1046,Welcome to the Jungle,Economic:1021
Trains:1034,normalUser,Deduction:1039,hussein512,8,2021-01-22 19:59:42.017,Medieval:1035,Fisherman (fan expansion to Carcassonne),Fan Expansion:2687
Spies/Secret Agents:1081,normalUser,Fighting:1046,baltigerzar,8,2021-01-22 19:30:02.93,Card Game:1002,City in Peril,Abstract Strategy:1009
Aviation/Flight:2650,influencer,Educational:1094,saralilith,8,2021-01-22 19:27:01.149,null,X: Ganz schön knifflig!,Dice:1017
Abstact Strategy:1009,normalUser,Negotiation:1026,milos,8,2021-01-22 19:22:42.725,Word Game:1025,ゴモジン (GomoJin),Party Game:1030
Ancient:1050,normalUser,Collectible Components:1044,fenpaints,8,2021-01-22 19:45:07.37,null,Ornamenta,null
Novel-Based:1093,normalUser,Print & Play:1120,rsfrsf,8,2021-01-22 19:40:50.674,null,Letters Numbers & Pictures Lotto,null
Print & Play:1120,normalUser,World War II: 1049,lotsa_muffins,8,2021-01-22 19:45:20.215,Political:1001,Korruptônia,Humor:1079
Ancient:1050,normalUser,Adventure:1022,molodec,8,2021-01-22 19:32:04.329,Trivia:1027,Quizminister,Political:1001
Educational:1094,influencer,Transportation:1011,canadianwytewolf,8,2021-01-22 19:32:46.726,Humor:1079,エレガンツ (Elegantu),Card Game:1002
Puzzle:1028,normalUser,Science Fiction:1016,boathouselooper,8,2021-01-22 19:30:09.332,Sports:1038,Månvalla travbana,Racing:1031
World War II: 1049,normalUser,Humor:1079,texasjedi,8,2021-01-22 19:56:45.692,Dice:1017,The Descendants of Volos,Adventure:1022
