name,admin,description,category2,name-2,category1
Pisammare,pescadete,no description,Fantasy:1010,Codex: Card-Time Strategy – Starter Set,Card Game:1002
Quelli di sempre,robindog},no description,Wargame:1019,La Bataille de Corunna-Espagnol,Napoleonic:1051
Quelli di sempre,metales_ramirez},no description,Wargame:1019,Ranger,Modern Warfare:1069
Cimone 2k16,impossibleastronaut,no description,Music:1054,Megastar,Card Game:1002
Quelli di sempre,megaboz},no description,Pirates:1090,Mutiny!,Fantasy:1010
Gli sfollati,gamergamergamer,no description,Collectible Components:1044,Redemption,Card Game:1002
Quelli di sempre,kaiax33},no description,Wargame:1019,Warriors of Japan: A Country Aflame 1335-1339,Medieval:1035
Bel gruppo,wheelsthefirst,no description,World War II:1049,Drive on Stalingrad: Battle for Southern Russia Game,Wargame:1019
Bel gruppo,coreyhaim8mydog,no description,null,"Tara, Seat of Kings",Abstract Strategy:1009
Bel gruppo,hellomynameisrob,no description,Action / Dexterity:1032,LOTS: A Competitive Tower Building Game,Abstract Strategy:1009
Bel gruppo,kipbot,no description,Wargame:1019,Guadalcanal,Nautical:1008
Quelli di sempre,sintyrax},no description,Movies / TV / Radio theme:1064,Prime Time,Economic:1021
Gli sfollati,oftenmadehumble,no description,Deduction:1039,Hack Trick: It's Hacking Time,Card Game:1002
Quelli di sempre,arcadiaquestor},no description,Animals:1089,Hedgehog Roll,Action / Dexterity:1032
Quelli di sempre,vsevoloch},no description,World War II:1049,"Matanikau: Battles on the Matanikau River, Guadalcanal,1942",Wargame:1019
Gli sfollati,ebobo,no description,null,Et Toque!,Party Game:1030
Cimone 2k16,twaddle,no description,Modern Warfare:1069,Warfighter Shadow War: The Modern Night Combat Card Game,Card Game:1002
Bel gruppo,dylasaurus,no description,Fantasy:1010,Knights of Camelot,Adventure:1022
Pisammare,beautifultoys,no description,Territory Building:1086,Brewin' USA,Industry / Manufacturing:1088
Gli sfollati,icenivek,no description,Renaissance:1070,"1565, St. Elmo's Pay",Card Game:1002
Gli sfollati,jakesixx,no description,null,Ta-Da!,null
Bel gruppo,mrseebo,no description,Horror:1024,Malifaux Rules Manual,Book:1117
Gli sfollati,mistytotem,no description,Wargame:1019,Gato Leader,Nautical:1008
Gli sfollati,legrandmenteur,no description,Word Game:1025,Palabra,Card Game:1002
Gli sfollati,junraqan,no description,World War II:1049,Guadalcanal: Semper Fi Series,Wargame:1019
Pisammare,dionysus1984,no description,null,Preference,Card Game:1002
Pisammare,mwelsh1118,no description,Card Game:1002,Kittens in a Blender,Animals:1089
Bel gruppo,hexenjagd,no description,Wargame:1019,World in War: Combined Arms 1939-1945,Miniatures:1047
Cimone 2k16,mikeinhell,no description,Real-time:1037,Ubongo Junior,Puzzle:1028
Gli sfollati,misio205,no description,Bluffing:1023,Cargolino Valentino,Animals:1089
Quelli di sempre,kylemorrison},no description,Science Fiction:1016,Vanished Planet,Economic:1021
Pisammare,bioleta,no description,Card Game:1002,Planecrafters,Aviation / Flight:2650
Quelli di sempre,vittorioso},no description,Sports:1038,WeyKick on Ice,Action / Dexterity:1032
Gli sfollati,crazysoul,no description,Economic:1021,Spice Merchant,Card Game:1002
Bel gruppo,melkor89,no description,Wargame:1019,Great War at Sea 2: The North & Baltic Seas,Nautical:1008
Quelli di sempre,futzboy},no description,Wargame:1019,Invasion 1066: The Battle of Hastings,Medieval:1035
Gli sfollati,alienpuppies,no description,Children's Game:1041,Weapons & Warriors: Castle Combat Set,Action / Dexterity:1032
Cimone 2k16,sammotheblammo,no description,Science Fiction:1016,Star Fleet Battles (Commander's Edition),Movies / TV / Radio theme:1064
Gli sfollati,hansolosuncle,no description,Farming:1013,The Farming Game,Economic:1021
Pisammare,shaku91,no description,World War II:1049,Invasion Sicily,Wargame:1019
Gli sfollati,nehilism,no description,Environmental:1084,Rescue Polar Bears,Animals:1089
Pisammare,popevans,no description,World War II:1049,Tank on Tank: East Front,Wargame:1019
Bel gruppo,deemb,no description,null,Maniacal,Comic Book / Strip:1116
Gli sfollati,paulabatton,no description,Card Game:1002,Ave Cesar,Ancient:1050
Pisammare,ramvic,no description,Number:1098,Rummikub Twist,Abstract Strategy:1009
Gli sfollati,iiisrael,no description,Industry / Manufacturing:1088,Team UP!,Abstract Strategy:1009
Pisammare,erik de baan,no description,Renaissance:1070,The Doge Ship,Economic:1021
Bel gruppo,jeeerrd,no description,Transportation:1011,Rush Hour Scramble,Puzzle:1028
Quelli di sempre,oconlan},no description,Sports:1038,Volleyball High,Card Game:1002
Pisammare,mikeron,no description,null,Manager,Economic:1021
Pisammare,npayne80,no description,Children's Game:1041,Top That!,Action / Dexterity:1032
Gli sfollati,dotintegral,no description,Wargame:1019,"Chickamauga: The Last Victory, 20 September 1863",American Civil War:1048
Gli sfollati,merrymeeple,no description,Medieval:1035,1347: De Nigrae Pestis Ludo,Bluffing:1023
Quelli di sempre,yoshi1967},no description,null,Nur Peanuts!,Economic:1021
Cimone 2k16,djam,no description,Wargame:1019,Newtown,American Revolutionary War:1075
Quelli di sempre,nathaninvic},no description,Print & Play:1120,Palago,Abstract Strategy:1009
Pisammare,kschmid5,no description,Wargame:1019,Napoleon at Eylau,Napoleonic:1051
Pisammare,sbrecco,no description,American Revolutionary War:1075,Freeman's Farm 1777,Age of Reason:2726
Quelli di sempre,leetin},no description,World War II:1049,Invasion: Norway,Wargame:1019
Quelli di sempre,rcop},no description,Children's Game:1041,Bobbin' Bumblebee,Action / Dexterity:1032
Bel gruppo,meteorice,no description,Card Game:1002,4 Seasons,Bluffing:1023
Pisammare,najata,no description,Children's Game:1041,Penguin Trap,Action / Dexterity:1032
Cimone 2k16,commanderscrappy,no description,Wargame:1019,Talavera & Vimeiro,Napoleonic:1051
Cimone 2k16,takasoo,no description,null,ArtSee,Card Game:1002
Quelli di sempre,jkavu},no description,Modern Warfare:1069,Sans Alliés,Card Game:1002
Pisammare,lefou23,no description,World War I:1065,Fatal Alliances: The Great War,Wargame:1019
Pisammare,dimetime,no description,Arabian:1052,Tadmor,Ancient:1050
Gli sfollati,keyholegames,no description,Fighting:1046,Kings of War: Vanguard,Fantasy:1010
Cimone 2k16,igores,no description,Card Game:1002,Zoomaka,Animals:1089
Cimone 2k16,gorlab,no description,Print & Play:1120,Fireknife!,Card Game:1002
Quelli di sempre,heddy},no description,Science Fiction:1016,Flashpoint!,Miniatures:1047
Pisammare,wild blue skies,no description,Economic:1021,The Godfather Game,Card Game:1002
Quelli di sempre,telcar},no description,Environmental:1084,Weed!,Card Game:1002
Bel gruppo,lanejustin,no description,null,The Great Chinese Railway Game,Trains:1034
Bel gruppo,gostone23,no description,Children's Game:1041,Bermuda Pirates,Action / Dexterity:1032
Cimone 2k16,weirduncle,no description,Economic:1021,Ice Cream,Children's Game:1041
Bel gruppo,sngames,no description,Party Game:1030,Werebeasts,Deduction:1039
Cimone 2k16,firstblood,no description,Card Game:1002,Desperados,American West:1055
Cimone 2k16,grondl,no description,Humor:1079,IGOR: The Mad Scientist's Lament,Card Game:1002
Pisammare,exa1zar2ius3,no description,Wargame:1019,World Conquerors,Civilization:1015
Quelli di sempre,deanofdvd},no description,null,Palatinus,Ancient:1050
Pisammare,elglobo,no description,Party Game:1030,Party Lines,Bluffing:1023
Cimone 2k16,overthetop,no description,Farming:1013,Finca (2018 Edition),Economic:1021
Pisammare,payne21227,no description,Dice:1017,Wulong,Bluffing:1023
Gli sfollati,xnickbaranx,no description,Fighting:1046,Xtreme Zombie Hunter,Adventure:1022
Bel gruppo,kittymike21,no description,null,Kensington,Abstract Strategy:1009
Pisammare,blackmarketgames,no description,Exploration:1020,Pirate's Treasure,Children's Game:1041
Bel gruppo,mpoirier,no description,null,Gold Ahoy!,Abstract Strategy:1009
Pisammare,bobry,no description,Bluffing:1023,Zig-Zag,Action / Dexterity:1032
Bel gruppo,lakerscentral,no description,Word Game:1025,kuuduk,Card Game:1002
Pisammare,cernunos,no description,Humor:1079,Quelf,Action / Dexterity:1032
Gli sfollati,shabers,no description,null,Zoned Out,City Building:1029
Quelli di sempre,lanie},no description,null,Schwarzmarkt,Economic:1021
Quelli di sempre,jgbaxter},no description,Wargame:1019,Manchu: The Taiping Rebellion – 1852-1868,Post-Napoleonic:2710
Cimone 2k16,raptorpilot,no description,Maze:1059,Murphy's Magic Island,Dice:1017
Pisammare,mananthemoon,no description,Children's Game:1041,Snap,Card Game:1002
Cimone 2k16,urliantonio,no description,null,Mini Park,City Building:1029
Quelli di sempre,yannick69},no description,Children's Game:1041,Tortoise and the Hare Board Game,Animals:1089
Gli sfollati,dragonmaster7,no description,Economic:1021,Mow Money,Card Game:1002
Pisammare,pssdffjay,no description,Dice:1017,X-Men: Under Siege,Comic Book / Strip:1116
Pisammare,aknash,no description,Memory:1045,Yard Sale,Children's Game:1041
Pisammare,gamingnoise,no description,null,Nine Men's Morris,Abstract Strategy:1009
Quelli di sempre,jazzflight},no description,null,Pie Factory,Card Game:1002
Bel gruppo,athmtoonen,no description,Economic:1021,Stock hold'em,Card Game:1002
Gli sfollati,dmynus,no description,Wargame:1019,Conflict of Alliances: Warring States,Ancient:1050
Bel gruppo,handsbrix,no description,World War II:1049,Bloody Omaha: D-Day 1944,Wargame:1019
Cimone 2k16,lampoonthesystem,no description,Print & Play:1120,Walking on the Moon,Humor:1079
Gli sfollati,darioab,no description,Medieval:1035,La Loire,Economic:1021
Quelli di sempre,ichibangames},no description,Fantasy:1010,Bag of Dungeon: A Fantasy Adventure Game,Adventure:1022
Quelli di sempre,ojcall},no description,Collectible Components:1044,CardFight!! Vanguard,Card Game:1002
Bel gruppo,orioncrush,no description,Vietnam War:1109,Hue,Modern Warfare:1069
Cimone 2k16,sam1234,no description,Modern Warfare:1069,Objective Moscow: The Death of Soviet Communism,Fighting:1046
Quelli di sempre,nibiew},no description,Card Game:1002,7 Souls,Adventure:1022
Gli sfollati,milky_ants,no description,Wargame:1019,Iéna 1806,Napoleonic:1051
Pisammare,robrll,no description,null,MOD X,Abstract Strategy:1009
Gli sfollati,euan mcleod,no description,null,The Chaco War,Wargame:1019
Quelli di sempre,ren89},no description,Card Game:1002,Video Vortex,Adventure:1022
Bel gruppo,richmindworks,no description,Economic:1021,Schüttel's,Action / Dexterity:1032
Cimone 2k16,dustfinger78,no description,Deduction:1039,Automata NOIR,Comic Book / Strip:1116
Pisammare,raceric,no description,Dice:1017,Battleground Fantasy Warfare: Undead Army,Card Game:1002
Bel gruppo,ocdspectrum,no description,null,Phase 10 Twist,Card Game:1002
Quelli di sempre,raulink},no description,Medieval:1035,Chaostle,Fantasy:1010
Pisammare,protisimulator,no description,American Revolutionary War:1075,The American Revolution: Decision in North America,Age of Reason:2726
Cimone 2k16,joeydeeee,no description,Fantasy:1010,oddball Aeronauts 2: Double the Trouble,Card Game:1002
Quelli di sempre,jonathan9461},no description,Wargame:1019,"Caesar's War: The Conquest of Gaul, 58-52 BC",Ancient:1050
Quelli di sempre,uncletrunx},no description,null,Moeraki: Kemu,Abstract Strategy:1009
Cimone 2k16,elonka,no description,Wargame:1019,Days of Battle: Golan Heights,Modern Warfare:1069
Quelli di sempre,beaker1393},no description,Movies / TV / Radio theme:1064,10 Negritos,Deduction:1039
Gli sfollati,emc2feld,no description,Collectible Components:1044,The Nightmare Before Christmas TCG,Card Game:1002
Gli sfollati,gwildar,no description,Pirates:1090,Manifest,Nautical:1008
Cimone 2k16,bule,no description,null,Biergarten,Card Game:1002
Cimone 2k16,camillus24,no description,null,Brick & Mortar,Economic:1021
Pisammare,buzibee508,no description,Trains:1034,The Transcontinental,Industry / Manufacturing:1088
Pisammare,t_s_sullivan,no description,Modern Warfare:1069,Command Decision 2nd Edition,Miniatures:1047
Gli sfollati,buronar,no description,Science Fiction:1016,Flagship: Prometheus Unchained,Card Game:1002
Gli sfollati,xpolizeix,no description,Fighting:1046,Sherwood Forest,Bluffing:1023
Quelli di sempre,_cdm_},no description,Miniatures:1047,Flying Lead,Mafia:1033
Pisammare,nmt11091998,no description,Children's Game:1041,Bunte Runde,Abstract Strategy:1009
Cimone 2k16,eviljorge,no description,Economic:1021,Big Money,Dice:1017
Quelli di sempre,crashergeorge},no description,World War II:1049,Drang Nach Osten!,Wargame:1019
Cimone 2k16,awesomeness1017,no description,Wargame:1019,Inchon: MacArthur's Gambit,Korean War:1091
Cimone 2k16,demagoge,no description,Negotiation:1026,Tomb Trader,Adventure:1022
Gli sfollati,daewezzy,no description,Wargame:1019,The Last King of Scotland: The Uganda-Tanzania War 1978-1978,Modern Warfare:1069
Quelli di sempre,forum271},no description,Economic:1021,War Between The States 1861-1865,American Civil War:1048
Gli sfollati,bf_costello,no description,Memory:1045,"1,2,3! Now you see me…",Card Game:1002
Cimone 2k16,tinkerdisc,no description,Card Game:1002,London After Midnight 2: Sherlock in Hell,Bluffing:1023
Cimone 2k16,yankeeplatypus,no description,Puzzle:1028,SHIBUYA,Maze:1059
Quelli di sempre,sorgur},no description,Wargame:1019,Lion of the North: The Dawn of Modern Warfare,Pike and Shot:2725
Bel gruppo,wwddd,no description,Wargame:1019,"Drive on Washington: The Battle of Monocacy Junction, July 9,1864",American Civil War:1048
Pisammare,christinarcancel,no description,Educational:1094,Der HeidelBÄR,Card Game:1002
Quelli di sempre,dimagm},no description,Card Game:1002,Watten,Bluffing:1023
Quelli di sempre,knmp1},no description,Children's Game:1041,Curli Kuller,Action / Dexterity:1032
Pisammare,xanderbenioff,no description,Card Game:1002,Caligula,Ancient:1050
Pisammare,wisdomforwizards,no description,Exploration:1020,Star Viking,Economic:1021
Cimone 2k16,kyonkatsu,no description,Fighting:1046,Kacper Ryx i Król Żebraków,Adventure:1022
Quelli di sempre,the killing joke},no description,Wargame:1019,Invasion of the Air-eaters,Science Fiction:1016
Pisammare,thereisnospoon,no description,Post-Napoleonic:2710,A Blood-Red Banner: The Alamo,Educational:1094
Gli sfollati,crom84,no description,Fighting:1046,Warlord,Fantasy:1010
Cimone 2k16,gsolanof,no description,Fantasy:1010,Yomi Starter Set: Grave versus Jaina,Card Game:1002
Bel gruppo,silvertoe,no description,Word Game:1025,Kreuzwort,Dice:1017
Pisammare,emofes,no description,null,Port Royal,Card Game:1002
Gli sfollati,adam81,no description,World War II:1049,The Hardest Days,Wargame:1019
Pisammare,hiteshdj,no description,Puzzle:1028,Gum Gum Machine,Industry / Manufacturing:1088
Quelli di sempre,paddleballfluscles,no description,Wargame:1019,Blood & Iron,Post-Napoleonic:2710
Pisammare,whengoatsattack,no description,Napoleonic:1051,Song of Drums and Shakos,Miniatures:1047
Quelli di sempre,vanmith3555},no description,Mythology:1082,Archaeology,Ancient:1050
Quelli di sempre,branflakesbro},no description,null,Chaparral,American West:1055
Pisammare,vihkr,no description,Wargame:1019,Corteo,Political:1001
Gli sfollati,scitaliss,no description,Party Game:1030,GYÜMI Géniusz,Card Game:1002
Pisammare,blairhippo,no description,Miniatures:1047,The Men Who Would Be Kings: Colonial Wargaming Rules,Book:1117
Quelli di sempre,fabriarge},no description,Novel-based:1093,Gamedec,Adventure:1022
Cimone 2k16,slimmittens,no description,Wargame:1019,The Great Redoubt: A Game of the Battle of Borodino,Napoleonic:1051
Pisammare,timo7,no description,null,Spy Tricks,Card Game:1002
Bel gruppo,saldagon,no description,null,Archer: The Danger Zone! Board Game,Movies / TV / Radio theme:1064
Pisammare,pegasus65,no description,Puzzle:1028,The Exorcism at the House of Monkton Falls,Horror:1024
Gli sfollati,trunked,no description,Card Game:1002,Human Era,Bluffing:1023
Bel gruppo,gruulz,no description,Deduction:1039,Mad Love,Card Game:1002
Bel gruppo,mortality,no description,Humor:1079,Pi mal Daumen,Bluffing:1023
Cimone 2k16,wilczyca,no description,Industry / Manufacturing:1088,Mine!,Economic:1021
Gli sfollati,daria432,no description,null,Pacal's Rocket,Ancient:1050
Cimone 2k16,lordanime,no description,Fantasy:1010,Plethora,Economic:1021
Quelli di sempre,description:no description,no description,null,Sports Dice: Baseball,Sports:1038
Pisammare,jaedrian,no description,null,Robotech: Ace Pilot,Science Fiction:1016
Quelli di sempre,simijon},no description,Wargame:1019,Bellum Gallicum II,Ancient:1050
Gli sfollati,zsquared,no description,Bluffing:1023,Tellstones: King's Gambit,Abstract Strategy:1009
Cimone 2k16,bleuk,no description,Science Fiction:1016,Ether Wars,Dice:1017
Quelli di sempre,kawes9},no description,Humor:1079,That's Not Lemonade,Card Game:1002
Pisammare,windmillgo,no description,null,Death Wish,Card Game:1002
Quelli di sempre,hyilol},no description,Children's Game:1041,Space Planets,Action / Dexterity:1032
Cimone 2k16,restless10101,no description,null,The Genius Square,Puzzle:1028
Quelli di sempre,muckyduck mel},no description,Fantasy:1010,100 Swords: The Gold King's Dungeon,Card Game:1002
Bel gruppo,lewisgwyther,no description,null,Rick and Morty: 100 Días,null
Pisammare,okkay,no description,Fantasy:1010,Soldier's Companion,Book:1117
Pisammare,yelenka_k,no description,Trivia:1027,Dibs,Party Game:1030
Gli sfollati,haras,no description,Science Fiction:1016,Terminator Salvation,Exploration:1020
Pisammare,nealberk,no description,Fantasy:1010,Game of Blame,Card Game:1002
Pisammare,vascoan,no description,World War II:1049,"Dynamo: Dunkirk,1940",Wargame:1019
Quelli di sempre,kulel},no description,null,Red Sun Rising: The Russo-Japanese War 1904-05,Wargame:1019
Gli sfollati,vanessa_003,no description,Wargame:1019,Fight in the Skies,Aviation / Flight:2650
Quelli di sempre,kusti0152},no description,Print & Play:1120,Star Force Terra #1: Contact!,Card Game:1002
Gli sfollati,maesa,no description,Sports:1038,Bladder,Abstract Strategy:1009
Bel gruppo,soak314,no description,Sports:1038,Olympicards,Card Game:1002
Bel gruppo,el_dunco,no description,Dice:1017,Mia,Bluffing:1023
Quelli di sempre,yukata},no description,Novel-based:1093,Iliad: The Siege of Troy,Ancient:1050
Gli sfollati,addeus,no description,Comic Book / Strip:1116,Battle Scenes,Card Game:1002
Gli sfollati,neal smith,no description,Book:1117,Midnight Legion: Operation Deep Sleep,Adventure:1022
Pisammare,mudmaniac,no description,Book:1117,Hoyle's Games,Abstract Strategy:1009
Quelli di sempre,ymmat},no description,null,Bezique,Card Game:1002
Bel gruppo,rayjunx,no description,Horror:1024,The Refuge: Terror from the Deep,Adventure:1022
Quelli di sempre,akhicks629},no description,null,Super Circles,Card Game:1002
Pisammare,cycocypher,no description,Medieval:1035,Attandarra,Economic:1021
Pisammare,funkygamesninja,no description,null,MyRummy 111,Card Game:1002
Quelli di sempre,primus},no description,Science Fiction:1016,Halo: Fleet Battles – The Fall of Reach,Miniatures:1047
Cimone 2k16,patricclay,no description,Exploration:1020,Epoch: Early Inventors,Civilization:1015
Gli sfollati,vorpa,no description,Party Game:1030,Get The Cheese!,Animals:1089
Quelli di sempre,yannarseneau},no description,null,Colour Chess + Lure,Abstract Strategy:1009
Bel gruppo,lucribeiro,no description,Dice:1017,X Pasch,Card Game:1002
Quelli di sempre,thetino},no description,World War II:1049,Prelude to Disaster: The Soviet Spring Offensive,Wargame:1019
Cimone 2k16,mist1001,no description,American West:1055,The Battle of the Little Bighorn,American Indian Wars:1108
Bel gruppo,kijaucey,no description,Card Game:1002,Le Truc,Bluffing:1023
Gli sfollati,mitrydates,no description,Miniatures:1047,Clan War,Fantasy:1010
Pisammare,katsubun,no description,City Building:1029,Supertall,Card Game:1002
Gli sfollati,andora cidonia,no description,null,Limit,Abstract Strategy:1009
Gli sfollati,matskralc,no description,Adventure:1022,Dragons & Chickens,Action / Dexterity:1032
Bel gruppo,saphirrah,no description,Book:1117,Bag the Hun,Aviation / Flight:2650
Cimone 2k16,sheffik,no description,Wargame:1019,Helltank,Science Fiction:1016
Pisammare,bryk,no description,Card Game:1002,Tricks & Treats,Bluffing:1023
Quelli di sempre,redbolt},no description,Miniatures:1047,Johnny Reb,American Civil War:1048
Quelli di sempre,thejoepilato},no description,Fighting:1046,Diesel Demolition Derby,Card Game:1002
Cimone 2k16,sinn104,no description,Wargame:1019,"Maida and Castel Nuovo,1806",Napoleonic:1051
Cimone 2k16,teddz,no description,Card Game:1002,Zarcana,Abstract Strategy:1009
Cimone 2k16,profdavis,no description,Card Game:1002,Rumpelstiltskin,Bluffing:1023
Quelli di sempre,oldtallandugly},no description,Medieval:1035,For the Crown,Fantasy:1010
Pisammare,samuele2723,no description,Animals:1089,Taurus,Abstract Strategy:1009
Gli sfollati,rhys637,no description,World War I:1065,Infantry Attacks: August 1914,Wargame:1019
Bel gruppo,jmheineken1981,no description,Wargame:1019,Ironbottom Sound,Nautical:1008
Gli sfollati,tonyo460,no description,Deduction:1039,Sherlock Far West: La Mina Maldita,Card Game:1002
Quelli di sempre,cubedrone},no description,Children's Game:1041,Gary Gouda,Animals:1089
Quelli di sempre,sharky54},no description,World War II:1049,The Last Victory,Wargame:1019
Cimone 2k16,goazauber72,no description,Medieval:1035,Suzerain,Card Game:1002
Cimone 2k16,larresbethel,no description,null,Geisterfalle,null
Quelli di sempre,frgamer},no description,Card Game:1002,Zicke Zacke,Animals:1089
Gli sfollati,dragon4201976,no description,Fantasy:1010,Dwarves Inc.,Economic:1021
Pisammare,reyda01,no description,Miniatures:1047,Giant Monster Rampage,Fighting:1046
Pisammare,alpay,no description,Science Fiction:1016,Colonial Space Wars: New Horizons,Abstract Strategy:1009
Bel gruppo,teo86,no description,Dice:1017,"Dwarves: Dig, Delve, Die",Card Game:1002
Pisammare,teo86,no description,World War II:1049,Arnhem Bridge,Wargame:1019
Bel gruppo,holybrod,no description,Fantasy:1010,Gremlins Inc,Card Game:1002
Pisammare,the the,no description,Wargame:1019,Angola: Cold War Struggle in Africa,Modern Warfare:1069
Cimone 2k16,stoge,no description,Pirates:1090,Rattaneer,Card Game:1002
Bel gruppo,kschmutz,no description,Fighting:1046,Halali,Bluffing:1023
Cimone 2k16,kalavera,no description,World War II:1049,WW2 Deluxe: The War in Europe,Wargame:1019
Pisammare,diehardman,no description,Political:1001,Dark Assembly,Fantasy:1010
Gli sfollati,jalfred,no description,Collectible Components:1044,Diceland: Dragons,Action / Dexterity:1032
Quelli di sempre,ocoeekayaker},no description,Card Game:1002,X-Machina,Bluffing:1023
Cimone 2k16,falsememory,no description,Fighting:1046,Inoka,Card Game:1002
Bel gruppo,voidwalker,no description,Horror:1024,Necromancer,Fantasy:1010
Cimone 2k16,spooty mcpew,no description,Fantasy:1010,Sanctuary: The Keepers Era,Card Game:1002
Cimone 2k16,whiskey callahan,no description,Deduction:1039,Vivaldi,Card Game:1002
Cimone 2k16,acatalan,no description,Card Game:1002,Danmaku!!,Bluffing:1023
Gli sfollati,debitdejeux,no description,World War II:1049,Aachen,Wargame:1019
Cimone 2k16,flashhawk,no description,null,Ohio,Card Game:1002
Pisammare,boardgamenerd5390,no description,Fantasy:1010,Kingdom's Candy: Monsters,Card Game:1002
Gli sfollati,alepsycho,no description,Civil War:1102,Shot and Shell: Naval Combat in the Civil War,American Civil War:1048
Bel gruppo,aaronrojo,no description,World War II:1049,Bodyguard Overlord,Wargame:1019
Quelli di sempre,vannostrand},no description,Party Game:1030,10-dic,Dice:1017
Gli sfollati,norkle,no description,null,Demonslayer: Siege of Mt. Kunlun,Fantasy:1010
Bel gruppo,shallowblue,no description,Fighting:1046,Shift: The Single Card CCG,Card Game:1002
Gli sfollati,isneakattack,no description,Fantasy:1010,Havenfall,Adventure:1022
Quelli di sempre,cardslab},no description,Card Game:1002,PaiMiahhh,Abstract Strategy:1009
Bel gruppo,sprocket003,no description,Fighting:1046,Clusterfight!,Card Game:1002
Bel gruppo,prpr_hrdcr,no description,null,Borders of Kanta,Fantasy:1010
Pisammare,a1kmt2002,no description,Mythology:1082,Bellum,Ancient:1050
Gli sfollati,bicro,no description,null,New Orleans Big Band,Music:1054
Pisammare,zamazingo_,no description,Fantasy:1010,Castles of Caleira,Card Game:1002
Bel gruppo,jaymcdonald,no description,Card Game:1002,Joker Marbles,Abstract Strategy:1009
Pisammare,kantele,no description,Humor:1079,Charty Party,Card Game:1002
