username,role,category1,category2
sheila42oneill,normalUser,Transportation:1011,Fantasy:1010
teetuz,normalUser,Fighting:1046,Aviation/Flight:2650
arkanejel,normalUser,Dice:1017,Negotiation:1026
hexijester,normalUser,Sports:1038,Negotiation:1026
billy_rpg,normalUser,Zombies:2481,Action/Dexterity:1032
edmonton911,normalUser,Miniatures:1047,Word-game:1025
linguistfromhell,normalUser,Murder/Mystery:1040,Transportation:1011
laerthes,normalUser,Miniatures:1047,Bluffing:1023
sheezta,normalUser,Racing:1031,Ancient:1050
pegasus65,normalUser,Educational:1094,Movies/TV/Radio Theme:1064
the diamond geezer,normalUser,Humor:1079,Memory:1045
scevola,normalUser,Exploration:1020,Print & Play:1120
mbgalarneau,normalUser,Memory:1045,Territory Building:1086
massyet,normalUser,Memory:1045,Science Fiction:1016
elrond3737,normalUser,World War II: 1049,Adventure:1022
aliasadam,normalUser,Print & Play:1120,Card Game:1002
dsmitty,normalUser,Aviation/Flight:2650,Exploration:1020
zeo212,normalUser,Ancient:1050,Sports:1038
3ripmav,normalUser,Print & Play:1120,Word-game:1025
knollusk,normalUser,Medieval:1035,Transportation:1011
randy heller,normalUser,Racing:1031,Medical:2145
af01,normalUser,Fantasy:1010,Zombies:2481
slugger,normalUser,Travel:1097,Fantasy:1010
txmomof3boyz,normalUser,Number:1098,Zombies:2481
stebbi57,normalUser,Memory:1045,Trains:1034
panzermkv,normalUser,Educational:1094,Print & Play:1120
tkissack,normalUser,Fantasy:1010,Educational:1094
flyer,normalUser,Word-game:1025,Deduction:1039
vudujoie,normalUser,Medical:2145,Fantasy:1010
superpcs,normalUser,Zombies:2481,Modern Warfare:1069
moondust76,normalUser,Science Fiction:1016,Medical:2145
fridberg,normalUser,Print & Play:1120,Medieval:1035
casinok78,normalUser,Trains:1034,Word-game:1025
johann1947,normalUser,Miniatures:1047,World War II: 1049
eifelmartin,normalUser,Party Game:1030,Sports:1038
emma4,normalUser,Puzzle:1028,Fantasy:1010
cluegirl,normalUser,Spies/Secret Agents:1081,Collectible Components:1044
gxam,normalUser,Modern Warfare:1069,Animals:1089
pipeweed,normalUser,Medical:2145,Children's Game:1041
zarkenee,normalUser,Print & Play:1120,Fighting:1046
trojal,normalUser,Exploration:1020,Print & Play:1120
fuzzysilk,normalUser,Dice:1017,Action/Dexterity:1032
mgreen02,normalUser,Number:1098,Card Game:1002
remigijus,normalUser,Party Game:1030,Territory Building:1086
ernus,normalUser,Murder/Mystery:1040,Modern Warfare:1069
gialaroc,normalUser,Medical:2145,Fighting:1046
papiklfish,normalUser,Deduction:1039,Racing:1031
ap0ne,normalUser,Ancient:1050,Miniatures:1047
phiv,normalUser,Party Game:1030,Napoleonic:1051
marcf,normalUser,Novel-Based:1093,Ancient:1050
puffin13,normalUser,Puzzle:1028,Abstact Strategy:1009
dingo154,normalUser,Children's Game:1041,Murder/Mystery:1040
blackeagle30,normalUser,Zombies:2481,Party Game:1030
yesnomaybe,normalUser,Puzzle:1028,Print & Play:1120
robulous,normalUser,Card Game:1002,Wargame:1019
dukeboy,normalUser,Word-game:1025,Travel:1097
madplato,normalUser,Puzzle:1028,Sports:1038
flynryan,normalUser,Wargame:1019,World War II: 1049
svenusling,normalUser,Number:1098,Puzzle:1028
skinzniks,normalUser,Racing:1031,Word-game:1025
str1anger,normalUser,Puzzle:1028,Children's Game:1041
ahnenspross,normalUser,Wargame:1019,Economic:1021
teach4u,normalUser,Number:1098,Bluffing:1023
pumpkincoach,normalUser,Word-game:1025,Children's Game:1041
katja,normalUser,Collectible Components:1044,Abstact Strategy:1009
samoprd22,normalUser,Memory:1045,Humor:1079
pangur ban,normalUser,Puzzle:1028,Word-game:1025
tatry,normalUser,Word-game:1025,Number:1098
theswally,normalUser,Miniatures:1047,Fighting:1046
vasquez21,normalUser,Word-game:1025,Action/Dexterity:1032
marciamm,normalUser,Medieval:1035,Bluffing:1023
tapwater12,normalUser,Napoleonic:1051,Action/Dexterity:1032
purplewurple,normalUser,Memory:1045,Wargame:1019
theimp,normalUser,Party Game:1030,Children's Game:1041
ataribill,normalUser,Word-game:1025,Abstact Strategy:1009
ufolek,normalUser,Science Fiction:1016,Racing:1031
slav76,normalUser,Memory:1045,Educational:1094
napoleon1944,normalUser,Educational:1094,Territory Building:1086
fabian the delayer,normalUser,Novel-Based:1093,Memory:1045
allatoona1864,normalUser,Educational:1094,Action/Dexterity:1032
kdewar,normalUser,Ancient:1050,Collectible Components:1044
king kazma,normalUser,Wargame:1019,Party Game:1030
jarmoaulu,normalUser,Action/Dexterity:1032,Humor:1079
humppailves,normalUser,Party Game:1030,Movies/TV/Radio Theme:1064
myttyli,normalUser,Children's Game:1041,Murder/Mystery:1040
grohmann,normalUser,Trains:1034,Territory Building:1086
mk20336,normalUser,Sports:1038,Transportation:1011
santao,normalUser,Murder/Mystery:1040,Party Game:1030
robw01,normalUser,Exploration:1020,Sports:1038
superstars,normalUser,Deduction:1039,Word-game:1025
brad_c_1966,normalUser,Aviation/Flight:2650,Educational:1094
teddyelf,normalUser,Number:1098,Transportation:1011
jsper,normalUser,Puzzle:1028,Children's Game:1041
targetu,normalUser,Novel-Based:1093,Dice:1017
xeplica,normalUser,Puzzle:1028,Card Game:1002
sb_lazarus,normalUser,Memory:1045,Novel-Based:1093
miceu,normalUser,Murder/Mystery:1040,Novel-Based:1093
norbert michalczyk,normalUser,Modern Warfare:1069,Spies/Secret Agents:1081
rubereaglenest,normalUser,Medieval:1035,Book:1117
junkyardrat83,normalUser,Travel:1097,Sports:1038
dom5,normalUser,Negotiation:1026,Zombies:2481
mitrel,normalUser,Wargame:1019,Humor:1079
p_marco_,normalUser,Exploration:1020,Aviation/Flight:2650
clamstheseeker,normalUser,Territory Building:1086,Abstact Strategy:1009
hatemachine,normalUser,Racing:1031,Medical:2145
kepov,normalUser,Bluffing:1023,Adventure:1022
hanamigi,normalUser,Ancient:1050,Humor:1079
hahoolulu,normalUser,Medical:2145,Dice:1017
9joe,normalUser,Puzzle:1028,Napoleonic:1051
zero_001,normalUser,Modern Warfare:1069,Racing:1031
northjack,normalUser,Adventure:1022,Fighting:1046
chris_lb,normalUser,Real-time:1037,Transportation:1011
tjeanm,normalUser,Bluffing:1023,Travel:1097
nielszw,normalUser,Medieval:1035,World War II: 1049
juliusan,normalUser,Wargame:1019,Trains:1034
jaypeedee,normalUser,Economic:1021,Miniatures:1047
marcus3378,normalUser,Adventure:1022,Action/Dexterity:1032
bimmyjim,normalUser,Novel-Based:1093,Puzzle:1028
moo_sweden,normalUser,Napoleonic:1051,Bluffing:1023
mmuldoon,normalUser,Card Game:1002,Party Game:1030
zuras,normalUser,Transportation:1011,Print & Play:1120
banestonakano,normalUser,Sports:1038,Deduction:1039
toregualto,normalUser,Print & Play:1120,Memory:1045
josy87,normalUser,Medieval:1035,Territory Building:1086
harry2017,normalUser,Animals:1089,Medieval:1035
ottoblix,normalUser,World War II: 1049,Collectible Components:1044
bertoz84,normalUser,Territory Building:1086,Novel-Based:1093
penpapergames,normalUser,Exploration:1020,Ancient:1050
deathmagus,normalUser,Book:1117,Wargame:1019
grannysanny,normalUser,Miniatures:1047,Ancient:1050
gioele,normalUser,Spies/Secret Agents:1081,Humor:1079
therock32,normalUser,Zombies:2481,Negotiation:1026
grumsh,normalUser,Medical:2145,Transportation:1011
praydathor,normalUser,Sports:1038,World War II: 1049
epitrapezios,normalUser,Card Game:1002,Word-game:1025
koenig_pain,normalUser,Aviation/Flight:2650,Movies/TV/Radio Theme:1064
jumanjii,normalUser,Napoleonic:1051,Puzzle:1028
yanawhy,normalUser,Exploration:1020,Dice:1017
heavydisking,normalUser,Deduction:1039,Modern Warfare:1069
ptaku,normalUser,Bluffing:1023,Medieval:1035
semiquaver,normalUser,Abstact Strategy:1009,Puzzle:1028
jasonjaytwaddle,normalUser,Word-game:1025,Racing:1031
mrspecial,normalUser,Murder/Mystery:1040,Travel:1097
3dpawn,normalUser,Sports:1038,Educational:1094
cloethom,normalUser,Puzzle:1028,Puzzle:1028
pat58,normalUser,Exploration:1020,Puzzle:1028
dukesofrossi,normalUser,Collectible Components:1044,Adventure:1022
raviol13,normalUser,Puzzle:1028,Children's Game:1041
monopolyismyjam,normalUser,Wargame:1019,Spies/Secret Agents:1081
arriolus,normalUser,Movies/TV/Radio Theme:1064,Fighting:1046
taurouz,normalUser,Modern Warfare:1069,Fantasy:1010
knight_of_ni,normalUser,Children's Game:1041,Action/Dexterity:1032
aviones08,normalUser,Napoleonic:1051,Collectible Components:1044
forianst,normalUser,Wargame:1019,Zombies:2481
iain_benson,normalUser,Murder/Mystery:1040,Aviation/Flight:2650
evilsoupdragon,normalUser,Word-game:1025,Action/Dexterity:1032
mdeflo,normalUser,Trains:1034,Territory Building:1086
lalaland_ger,normalUser,Deduction:1039,Ancient:1050
aowongster,normalUser,Racing:1031,Children's Game:1041
kamk2,normalUser,Number:1098,Aviation/Flight:2650
yuuchigo,normalUser,Puzzle:1028,Spies/Secret Agents:1081
jacques77,normalUser,Action/Dexterity:1032,Exploration:1020
stuket,normalUser,Spies/Secret Agents:1081,Word-game:1025
raygun1966,normalUser,Dice:1017,Transportation:1011
jeffscottbrown,normalUser,Ancient:1050,Memory:1045
uthukyllan,normalUser,Transportation:1011,Medical:2145
vampyr,normalUser,Memory:1045,Adventure:1022
poguem101,normalUser,Deduction:1039,Zombies:2481
bark,normalUser,Trains:1034,Bluffing:1023
merighip,normalUser,Racing:1031,Fantasy:1010
mkaup366,normalUser,Collectible Components:1044,Print & Play:1120
halfbl00d,normalUser,Modern Warfare:1069,Transportation:1011
pixteca,normalUser,Word-game:1025,Economic:1021
xnorwegianwoodx,normalUser,Modern Warfare:1069,Adventure:1022
c0lpanic,normalUser,World War II: 1049,Word-game:1025
cottondonkey,normalUser,Memory:1045,Sports:1038
laidtorest1195,normalUser,Fighting:1046,Real-time:1037
sakabra,normalUser,Racing:1031,Travel:1097
el cid gordo,normalUser,Adventure:1022,Territory Building:1086
kingspud,normalUser,Collectible Components:1044,World War II: 1049
tayllerok,normalUser,Novel-Based:1093,Spies/Secret Agents:1081
cbander,normalUser,Trains:1034,Spies/Secret Agents:1081
thejarvin,normalUser,Movies/TV/Radio Theme:1064,Bluffing:1023
revolv667,normalUser,Movies/TV/Radio Theme:1064,Adventure:1022
nooly81,normalUser,Science Fiction:1016,Deduction:1039
tom chase,normalUser,Modern Warfare:1069,Deduction:1039
harlock78,normalUser,Aviation/Flight:2650,Fighting:1046
juheimbu,normalUser,Medical:2145,Napoleonic:1051
dziabaj77,normalUser,Negotiation:1026,Print & Play:1120
pyl0s,normalUser,Action/Dexterity:1032,Dice:1017
rvbicka,normalUser,Modern Warfare:1069,Trains:1034
rexor,normalUser,Economic:1021,Card Game:1002
caekles,normalUser,Transportation:1011,World War II: 1049
mendellee,normalUser,Travel:1097,Medical:2145
marcelclc,normalUser,Transportation:1011,Science Fiction:1016
liggins,normalUser,Medieval:1035,Adventure:1022
jmeeple,normalUser,Medieval:1035,Fighting:1046
valashas,normalUser,Print & Play:1120,Napoleonic:1051
thecruncher,normalUser,Party Game:1030,Modern Warfare:1069
hayertjez,normalUser,Real-time:1037,Animals:1089
nicbfromoz,normalUser,Transportation:1011,World War II: 1049
pedrofunke,normalUser,Sports:1038,Bluffing:1023
nehilism,normalUser,Negotiation:1026,Aviation/Flight:2650
lofcutus,normalUser,Napoleonic:1051,Fighting:1046
boardgamem7,normalUser,Miniatures:1047,Action/Dexterity:1032
incompetentkiteflyin,normalUser,Sports:1038,Murder/Mystery:1040
fa1lure,normalUser,Territory Building:1086,Educational:1094
alaudequest,normalUser,Miniatures:1047,Exploration:1020
abcdef1234560907442,normalUser,Negotiation:1026,Modern Warfare:1069
roshavot,normalUser,Movies/TV/Radio Theme:1064,Educational:1094
captain_akula,normalUser,Travel:1097,Spies/Secret Agents:1081
capman,normalUser,Deduction:1039,Book:1117
tylock28,normalUser,Movies/TV/Radio Theme:1064,Sports:1038
waymau,normalUser,Word-game:1025,Abstact Strategy:1009
janon,normalUser,Puzzle:1028,World War II: 1049
gobaith,normalUser,Fighting:1046,Napoleonic:1051
renke,normalUser,Real-time:1037,Dice:1017
kyleschubert,normalUser,Dice:1017,Negotiation:1026
deadhumanafterall,normalUser,Animals:1089,Spies/Secret Agents:1081
moonlightmiracle,normalUser,Wargame:1019,Negotiation:1026
pikitriki,normalUser,Negotiation:1026,Memory:1045
mayaheine,normalUser,Number:1098,Racing:1031
malarkey,normalUser,Trains:1034,Number:1098
kelmerave,normalUser,Book:1117,Humor:1079
avedeus,normalUser,Collectible Components:1044,Novel-Based:1093
drjozzo,normalUser,Miniatures:1047,Card Game:1002
healex,normalUser,Medieval:1035,Aviation/Flight:2650
xenot,normalUser,Exploration:1020,Fighting:1046
edwinshl,normalUser,Medical:2145,Modern Warfare:1069
slimedog13,normalUser,Puzzle:1028,Medieval:1035
aweburnphoenix,normalUser,Number:1098,Adventure:1022
wodin,normalUser,Trains:1034,Racing:1031
charles_crusoe,normalUser,Sports:1038,Miniatures:1047
shepwrists,normalUser,Aviation/Flight:2650,Economic:1021
mmuthig,normalUser,Ancient:1050,Fantasy:1010
alorenzi,normalUser,Negotiation:1026,Educational:1094
troia,normalUser,Collectible Components:1044,Puzzle:1028
happyt,normalUser,Video Game Theme:1101,Card Game:1002
old_sarge_84,normalUser,Murder/Mystery:1040,Territory Building:1086
carmanm,normalUser,Educational:1094,Racing:1031
teooh,normalUser,Ancient:1050,Puzzle:1028
guimasmoraes,normalUser,Adventure:1022,Print & Play:1120
radoslawkotowski,normalUser,Spies/Secret Agents:1081,Dice:1017
liberto87,normalUser,Dice:1017,Zombies:2481
macunaima,normalUser,Humor:1079,Racing:1031
alibanez,normalUser,Puzzle:1028,Economic:1021
kkbreit,normalUser,Modern Warfare:1069,Novel-Based:1093
rogelius,normalUser,Card Game:1002,Humor:1079
deadsquirrel,normalUser,Modern Warfare:1069,Card Game:1002
nooblysauce,normalUser,Napoleonic:1051,Puzzle:1028
pavelpriego,normalUser,Movies/TV/Radio Theme:1064,World War II: 1049
dralion10,normalUser,Medieval:1035,Modern Warfare:1069
brokenarcher,normalUser,Bluffing:1023,Racing:1031
danddlover,normalUser,Movies/TV/Radio Theme:1064,Word-game:1025
andre1981,normalUser,Movies/TV/Radio Theme:1064,Wargame:1019
anitroche,normalUser,Humor:1079,Science Fiction:1016
dwhite6666,normalUser,Collectible Components:1044,Medical:2145
dominicbasson,normalUser,Fighting:1046,Action/Dexterity:1032
garretp2,normalUser,Real-time:1037,Humor:1079
grassmanbenny,normalUser,Medical:2145,Adventure:1022
dibujante,normalUser,Fantasy:1010,Print & Play:1120
rikkano1374,normalUser,Travel:1097,Bluffing:1023
arcadecastle,normalUser,Negotiation:1026,World War II: 1049
publicbgg,normalUser,Negotiation:1026,Spies/Secret Agents:1081
iiternity,normalUser,Wargame:1019,Word-game:1025
yamsyamsyams,normalUser,Dice:1017,Puzzle:1028
hazelorb,normalUser,Humor:1079,Party Game:1030
scottkunselman1,normalUser,Aviation/Flight:2650,Economic:1021
thumbs1180,normalUser,Animals:1089,Word-game:1025
chaiyutbutchai,normalUser,Card Game:1002,Real-time:1037
andythegamemaker,normalUser,Abstact Strategy:1009,Puzzle:1028
haplo92,normalUser,Racing:1031,Negotiation:1026
teo pro,normalUser,Real-time:1037,Party Game:1030
dyvani,normalUser,Murder/Mystery:1040,Party Game:1030
zethsun,normalUser,Card Game:1002,Racing:1031
pisit28,normalUser,World War II: 1049,Memory:1045
medunek,normalUser,Puzzle:1028,Murder/Mystery:1040
auto520,normalUser,Aviation/Flight:2650,Territory Building:1086
draiguer,normalUser,Memory:1045,Travel:1097
jaromir88,normalUser,Wargame:1019,Action/Dexterity:1032
marcdp,normalUser,Educational:1094,Medical:2145
jackbezerra,normalUser,Deduction:1039,Exploration:1020
frisco68,normalUser,Collectible Components:1044,Number:1098
high_life,normalUser,Bluffing:1023,Abstact Strategy:1009
icelook62,normalUser,Word-game:1025,Negotiation:1026
giantmike,normalUser,Modern Warfare:1069,Medieval:1035
blueadept,normalUser,Real-time:1037,Novel-Based:1093
xzamzax,normalUser,Modern Warfare:1069,Children's Game:1041
ogoctopus,normalUser,Sports:1038,Animals:1089
darktime5,normalUser,Real-time:1037,Number:1098
albertross2012,normalUser,Medical:2145,Ancient:1050
luin_pl,normalUser,Card Game:1002,Aviation/Flight:2650
ryan22driver,normalUser,Bluffing:1023,Memory:1045
kagetora13,normalUser,Memory:1045,Medical:2145
abbywill,normalUser,Educational:1094,Spies/Secret Agents:1081
rosb,normalUser,Transportation:1011,Real-time:1037
lefty writer,normalUser,Dice:1017,Puzzle:1028
catamountgal777,normalUser,Humor:1079,Word-game:1025
double_l_games,normalUser,Trains:1034,Puzzle:1028
gayoung,normalUser,Puzzle:1028,Word-game:1025
xoxososo,normalUser,Aviation/Flight:2650,Puzzle:1028
youya,normalUser,Puzzle:1028,Murder/Mystery:1040
thurein,normalUser,Dice:1017,Real-time:1037
kothelion,normalUser,Ancient:1050,Video Game Theme:1101
mafalda y,normalUser,Deduction:1039,Medieval:1035
johnnyjewell,normalUser,Spies/Secret Agents:1081,Animals:1089
stampedegaming,normalUser,Science Fiction:1016,Bluffing:1023
badgerigar,normalUser,Adventure:1022,Economic:1021
t3_gaming,normalUser,Word-game:1025,Real-time:1037
frooty_bazooty,normalUser,Sports:1038,Dice:1017
switte83,normalUser,Medieval:1035,Ancient:1050
ignatus,normalUser,Novel-Based:1093,Book:1117
sean3dguy,normalUser,Adventure:1022,World War II: 1049
corsairjoe,normalUser,Card Game:1002,Number:1098
caesar_x,normalUser,Action/Dexterity:1032,Napoleonic:1051
uampy,normalUser,Number:1098,Napoleonic:1051
cuordileone,normalUser,Movies/TV/Radio Theme:1064,Real-time:1037
jb78nj,normalUser,Territory Building:1086,Bluffing:1023
sian610,normalUser,Sports:1038,Territory Building:1086
sabri_03,normalUser,Territory Building:1086,Negotiation:1026
trusemi98,normalUser,Children's Game:1041,Novel-Based:1093
luistechno,normalUser,Collectible Components:1044,Territory Building:1086
julian paleolog,normalUser,Novel-Based:1093,Travel:1097
bimbadilotr,normalUser,Zombies:2481,Action/Dexterity:1032
johnnychaos5,normalUser,Science Fiction:1016,Murder/Mystery:1040
firelos,normalUser,World War II: 1049,Aviation/Flight:2650
soler108,normalUser,Video Game Theme:1101,Napoleonic:1051
mightythoro,normalUser,Fantasy:1010,Spies/Secret Agents:1081
artemysya,normalUser,Deduction:1039,Transportation:1011
matterdark,normalUser,Trains:1034,Adventure:1022
sereish,normalUser,Print & Play:1120,Murder/Mystery:1040
teamencore,normalUser,Collectible Components:1044,Card Game:1002
disu,normalUser,Territory Building:1086,Abstact Strategy:1009
b1ue,normalUser,Book:1117,Memory:1045
botnik,normalUser,Puzzle:1028,Memory:1045
derjukee,normalUser,Print & Play:1120,Spies/Secret Agents:1081
david s serrano,normalUser,Word-game:1025,Action/Dexterity:1032
elisaprashad,normalUser,Ancient:1050,Action/Dexterity:1032
reapinwombat,normalUser,Real-time:1037,Action/Dexterity:1032
aegos,normalUser,Aviation/Flight:2650,Exploration:1020
dcloth,normalUser,Adventure:1022,Movies/TV/Radio Theme:1064
helstorm166,normalUser,Transportation:1011,Collectible Components:1044
nautches,normalUser,Action/Dexterity:1032,Word-game:1025
cardboardimagination,normalUser,Sports:1038,Movies/TV/Radio Theme:1064
minarett,normalUser,Video Game Theme:1101,World War II: 1049
drmairon,normalUser,Ancient:1050,Animals:1089
anaiskaruna,normalUser,Adventure:1022,Science Fiction:1016
mhorin11,normalUser,Novel-Based:1093,Zombies:2481
escru,normalUser,Novel-Based:1093,Puzzle:1028
jo_kari,normalUser,Modern Warfare:1069,Racing:1031
fabioerode,normalUser,Economic:1021,Murder/Mystery:1040
acab80,normalUser,Animals:1089,Spies/Secret Agents:1081
alessandrogargiulo,normalUser,Trains:1034,Educational:1094
herotime,normalUser,Abstact Strategy:1009,Puzzle:1028
tunz,normalUser,Medical:2145,Adventure:1022
pirassault,normalUser,Napoleonic:1051,Territory Building:1086
lagertha95,normalUser,Collectible Components:1044,Children's Game:1041
djleotec,normalUser,Video Game Theme:1101,Napoleonic:1051
spiritguardian1,normalUser,Transportation:1011,World War II: 1049
gjc82,normalUser,Medieval:1035,Travel:1097
fusseymoore,normalUser,Deduction:1039,Trains:1034
sleepylambda44,normalUser,Negotiation:1026,Trains:1034
ahwhite86,normalUser,Word-game:1025,Negotiation:1026
ghwhite,normalUser,Party Game:1030,Puzzle:1028
pambevles,normalUser,Exploration:1020,Miniatures:1047
esdjuegos,normalUser,Trains:1034,Exploration:1020
jasonmiceli,normalUser,Adventure:1022,Negotiation:1026
jsesh,normalUser,Modern Warfare:1069,Party Game:1030
jamesshade,normalUser,Fighting:1046,Video Game Theme:1101
jeffacake22,normalUser,Action/Dexterity:1032,Real-time:1037
celticluvr,normalUser,Medical:2145,Science Fiction:1016
xelo5,normalUser,Word-game:1025,Number:1098
damianarmitage,normalUser,Action/Dexterity:1032,Travel:1097
brunoneo,normalUser,Zombies:2481,Puzzle:1028
blachocolat,normalUser,Napoleonic:1051,Children's Game:1041
womble76,normalUser,Trains:1034,Murder/Mystery:1040
victormodino,normalUser,Territory Building:1086,Murder/Mystery:1040
spectreandvox,normalUser,Zombies:2481,Party Game:1030
pillboxjen,normalUser,Racing:1031,Zombies:2481
gtietz,normalUser,Children's Game:1041,Transportation:1011
woooooober,normalUser,Novel-Based:1093,Puzzle:1028
lazkijunki,normalUser,Territory Building:1086,Number:1098
moonfrog,normalUser,Racing:1031,Novel-Based:1093
lianaukr,normalUser,Fantasy:1010,Real-time:1037
denys_from_gavial,normalUser,Adventure:1022,Novel-Based:1093
keileukekristel,normalUser,Video Game Theme:1101,Children's Game:1041
junipercreates,normalUser,Trains:1034,Novel-Based:1093
matute21,normalUser,Action/Dexterity:1032,Miniatures:1047
quintocato,normalUser,Spies/Secret Agents:1081,Medical:2145
wade_hayes,normalUser,Word-game:1025,Bluffing:1023
robertgs82,normalUser,Puzzle:1028,Exploration:1020
bitterfaith,normalUser,Napoleonic:1051,Real-time:1037
mezzocieloandfriends,normalUser,Abstact Strategy:1009,Spies/Secret Agents:1081
mezzocielo,normalUser,Modern Warfare:1069,Miniatures:1047
jboogerd77,normalUser,Napoleonic:1051,Negotiation:1026
vgbadorrey,normalUser,Adventure:1022,Puzzle:1028
beckelar,normalUser,Fantasy:1010,Action/Dexterity:1032
cawa girona,normalUser,Collectible Components:1044,Exploration:1020
jgarrote,normalUser,Real-time:1037,Fighting:1046
crazycarrie06,normalUser,Dice:1017,Adventure:1022
thornduck,normalUser,Children's Game:1041,Medieval:1035
gaming_fool,normalUser,Napoleonic:1051,Miniatures:1047
white_drop,normalUser,Animals:1089,Economic:1021
bondjunior,normalUser,Medical:2145,Fighting:1046
classroomadventures,normalUser,Book:1117,Print & Play:1120
kevinsalles,normalUser,Medieval:1035,Real-time:1037
dim0niw4e,normalUser,Humor:1079,Educational:1094
getdafunkout,normalUser,Medieval:1035,Bluffing:1023
spoonerog,normalUser,Aviation/Flight:2650,Novel-Based:1093
ardel22,normalUser,Memory:1045,Trains:1034
ar1stotle,normalUser,Educational:1094,Puzzle:1028
theflashisrunning,normalUser,Dice:1017,Napoleonic:1051
never_kneels,normalUser,Party Game:1030,Real-time:1037
bill_gallon,normalUser,Medieval:1035,Ancient:1050
dinosnert,normalUser,Medieval:1035,Miniatures:1047
menageriecollective,normalUser,Fantasy:1010,Ancient:1050
distrixguy,normalUser,Print & Play:1120,Travel:1097
futean,normalUser,Memory:1045,Fighting:1046
ducksboy,normalUser,Party Game:1030,Miniatures:1047
chudified,normalUser,Zombies:2481,Word-game:1025
gilintx,normalUser,Medical:2145,Collectible Components:1044
dgfitch,normalUser,Educational:1094,Dice:1017
mil_werdna,normalUser,Wargame:1019,Deduction:1039
mcaramb,normalUser,Zombies:2481,Card Game:1002
dr_hazard86,normalUser,Party Game:1030,World War II: 1049
oblivion11,normalUser,Number:1098,Educational:1094
peaceful_dragon,normalUser,Napoleonic:1051,Card Game:1002
johnsonrocks2,normalUser,Card Game:1002,Dice:1017
hendrima,normalUser,Adventure:1022,Science Fiction:1016
cupilex,normalUser,Movies/TV/Radio Theme:1064,Wargame:1019
supernono1217,normalUser,Zombies:2481,Napoleonic:1051
