category2,role,category1,username,timestamp,name,admin,description
Adventure:1022,normalUser,Action/Dexterity:1032,shockway,2021-01-22 19:22:03.163,Gli sfollati,shockway,no description
Movies/TV/Radio Theme:1064,normalUser,Print & Play:1120,nikolascc,2021-01-22 19:22:08.902,Gli sfollati,nikolascc,no description
Sports:1038,normalUser,Memory:1045,amnaroth,2021-01-22 19:22:09.158,Pisammare,amnaroth,no description
Bluffing:1023,normalUser,Book:1117,danielstamm,2021-01-22 19:21:58.714,Pisammare,danielstamm,no description
Number:1098,influencer,Animals:1089,youvegotrats,2021-01-22 19:22:12.359,Bel gruppo,youvegotrats,no description
Ancient:1050,normalUser,Zombies:2481,thewoodworkinggamer,2021-01-22 19:22:09.926,Pisammare,thewoodworkinggamer,no description
Word-game:1025,normalUser,Wargame:1019,logansrun,2021-01-22 19:21:59.192,Cimone 2k16,logansrun,no description
Ancient:1050,normalUser,Educational:1094,richmindworks,2021-01-22 19:21:55.106,Bel gruppo,richmindworks,no description
Economic:1021,normalUser,Fighting:1046,hellskitch,2021-01-22 19:22:11.037,Cimone 2k16,hellskitch,no description
Collectible Components:1044,normalUser,Abstact Strategy:1009,o1eks,2021-01-22 19:22:04.838,Gli sfollati,o1eks,no description
Medieval:1035,normalUser,Murder/Mystery:1040,particle games,2021-01-22 19:22:07.562,Pisammare,particle games,no description
Racing:1031,normalUser,Number:1098,ocoeekayaker,2021-01-22 19:21:56.937,Quelli di sempre,no description,ocoeekayaker
Travel:1097,normalUser,Adventure:1022,schubert3,2021-01-22 19:22:04.221,Bel gruppo,schubert3,no description
Fantasy:1010,influencer,Racing:1031,frozenpandaman,2021-01-22 19:22:03.869,Bel gruppo,frozenpandaman,no description
Party Game:1030,normalUser,Negotiation:1026,oshiimine,2021-01-22 19:21:58.74,Pisammare,oshiimine,no description
Fighting:1046,normalUser,Trains:1034,magiccoast9,2021-01-22 19:22:00.677,Quelli di sempre,no description,magiccoast9
Memory:1045,normalUser,Sports:1038,xobxela,2021-01-22 19:22:03.962,Quelli di sempre,no description,xobxela
Territory Building:1086,normalUser,Negotiation:1026,zinabi,2021-01-22 19:22:12.531,Bel gruppo,zinabi,no description
Wargame:1019,normalUser,Print & Play:1120,matthewrgemmell,2021-01-22 19:21:58.641,Gli sfollati,matthewrgemmell,no description
Ancient:1050,normalUser,Trains:1034,tronin,2021-01-22 19:22:06.56,Pisammare,tronin,no description
Napoleonic:1051,normalUser,Zombies:2481,stackey83,2021-01-22 19:22:09.913,Cimone 2k16,stackey83,no description
Card Game:1002,normalUser,Puzzle:1028,jonathan9461,2021-01-22 19:21:55.199,Quelli di sempre,no description,jonathan9461
Puzzle:1028,normalUser,Adventure:1022,forum271,2021-01-22 19:21:55.465,Quelli di sempre,no description,forum271
Humor:1079,normalUser,Economic:1021,pieropepi,2021-01-22 19:22:00.722,Quelli di sempre,no description,pieropepi
Spies/Secret Agents:1081,normalUser,Miniatures:1047,axisofoil,2021-01-22 19:22:10.967,Cimone 2k16,axisofoil,no description
Medieval:1035,normalUser,Card Game:1002,king napoleon,2021-01-22 19:22:08.004,Gli sfollati,king napoleon,no description
Wargame:1019,normalUser,Action/Dexterity:1032,ovidenov,2021-01-22 19:22:01.519,Bel gruppo,ovidenov,no description
Sports:1038,normalUser,Economic:1021,geo_bsi,2021-01-22 19:22:06.868,Cimone 2k16,geo_bsi,no description
Medical:2145,normalUser,Exploration:1020,tonyo460,2021-01-22 19:21:56.7,Gli sfollati,tonyo460,no description
Novel-Based:1093,normalUser,Modern Warfare:1069,oyang,2021-01-22 19:21:58.276,Gli sfollati,oyang,no description
Party Game:1030,normalUser,Action/Dexterity:1032,vic502,2021-01-22 19:22:11.264,Gli sfollati,vic502,no description
Number:1098,normalUser,Medical:2145,mauganraa,2021-01-22 19:21:59.938,Cimone 2k16,mauganraa,no description
Miniatures:1047,normalUser,Collectible Components:1044,sheijtan,2021-01-22 19:22:11.104,Gli sfollati,sheijtan,no description
Puzzle:1028,normalUser,Wargame:1019,alfre234,2021-01-22 19:21:57.953,Bel gruppo,alfre234,no description
Medieval:1035,normalUser,Movies/TV/Radio Theme:1064,patrickstockton,2021-01-22 19:22:09.213,Pisammare,patrickstockton,no description
Murder/Mystery:1040,normalUser,Educational:1094,larresbethel,2021-01-22 19:21:56.756,Cimone 2k16,larresbethel,no description
Sports:1038,normalUser,Fantasy:1010,airfighter,2021-01-22 19:22:11.49,Pisammare,airfighter,no description
Fantasy:1010,normalUser,Bluffing:1023,bananabattle,2021-01-22 19:22:08.118,Gli sfollati,bananabattle,no description
Modern Warfare:1069,normalUser,Adventure:1022,praetoriam,2021-01-22 19:22:09.648,Pisammare,praetoriam,no description
Aviation/Flight:2650,normalUser,Party Game:1030,fischpott,2021-01-22 19:22:00.998,Cimone 2k16,fischpott,no description
Travel:1097,normalUser,Medieval:1035,ath3na,2021-01-22 19:22:02.753,Gli sfollati,ath3na,no description
Word-game:1025,normalUser,Spies/Secret Agents:1081,billyindiana,2021-01-22 19:21:52.909,Bel gruppo,billyindiana,no description
Deduction:1039,normalUser,Modern Warfare:1069,deevieke,2021-01-22 19:22:12.627,Bel gruppo,deevieke,no description
Aviation/Flight:2650,influencer,Action/Dexterity:1032,richislater,2021-01-22 19:22:04.332,Quelli di sempre,no description,richislater
Deduction:1039,normalUser,Science Fiction:1016,philjones,2021-01-22 19:22:01.393,Pisammare,philjones,no description
Negotiation:1026,normalUser,Card Game:1002,preachervondoom,2021-01-22 19:22:03.3,Cimone 2k16,preachervondoom,no description
World War II: 1049,normalUser,Puzzle:1028,ghoulunatic,2021-01-22 19:22:09.568,Pisammare,ghoulunatic,no description
Economic:1021,normalUser,Puzzle:1028,kantel,2021-01-22 19:22:10.824,Gli sfollati,kantel,no description
Napoleonic:1051,normalUser,Collectible Components:1044,marinasong,2021-01-22 19:21:57.862,Bel gruppo,marinasong,no description
Card Game:1002,normalUser,Miniatures:1047,naporreon,2021-01-22 19:22:07.221,Pisammare,naporreon,no description
Puzzle:1028,normalUser,Negotiation:1026,bcoleman11,2021-01-22 19:22:00.271,Cimone 2k16,bcoleman11,no description
Ancient:1050,normalUser,Party Game:1030,beaker1393,2021-01-22 19:21:55.246,Quelli di sempre,no description,beaker1393
Spies/Secret Agents:1081,normalUser,Negotiation:1026,cmcadvanced,2021-01-22 19:22:12.262,Pisammare,cmcadvanced,no description
Travel:1097,normalUser,Action/Dexterity:1032,xanderbenioff,2021-01-22 19:21:55.582,Pisammare,xanderbenioff,no description
Movies/TV/Radio Theme:1064,normalUser,Miniatures:1047,sci_karate,2021-01-22 19:22:08.358,Quelli di sempre,no description,sci_karate
Movies/TV/Radio Theme:1064,normalUser,Territory Building:1086,davidstevens,2021-01-22 19:22:08.921,Gli sfollati,davidstevens,no description
Ancient:1050,normalUser,Party Game:1030,ydwen,2021-01-22 19:22:03.1,Gli sfollati,ydwen,no description
Children's Game:1041,normalUser,Memory:1045,fabriarge,2021-01-22 19:21:55.82,Quelli di sempre,no description,fabriarge
Print & Play:1120,normalUser,Puzzle:1028,mist1001,2021-01-22 19:21:56.46,Cimone 2k16,mist1001,no description
Children's Game:1041,moderator,Book:1117,remylebeau33,2021-01-22 19:22:12.095,Cimone 2k16,remylebeau33,no description
Napoleonic:1051,normalUser,Print & Play:1120,tabletopnick,2021-01-22 19:22:04.605,Pisammare,tabletopnick,no description
Wargame:1019,normalUser,Deduction:1039,pressack,2021-01-22 19:22:04.468,Bel gruppo,pressack,no description
Racing:1031,normalUser,Spies/Secret Agents:1081,dossyvilja,2021-01-22 19:21:53.133,Cimone 2k16,dossyvilja,no description
Wargame:1019,normalUser,Real-time:1037,thejoepilato,2021-01-22 19:21:56.594,Quelli di sempre,no description,thejoepilato
Aviation/Flight:2650,influencer,Real-time:1037,gottagame9000,2021-01-22 19:22:05.219,Bel gruppo,gottagame9000,no description
Fantasy:1010,normalUser,Modern Warfare:1069,leluckyvint,2021-01-22 19:22:08.048,Cimone 2k16,leluckyvint,no description
Fantasy:1010,influencer,Napoleonic:1051,sinn104,2021-01-22 19:21:56.609,Cimone 2k16,sinn104,no description
Puzzle:1028,normalUser,Spies/Secret Agents:1081,mudmaniac,2021-01-22 19:21:56.294,Pisammare,mudmaniac,no description
Bluffing:1023,normalUser,Collectible Components:1044,gabibi,2021-01-22 19:22:02.378,Bel gruppo,gabibi,no description
Bluffing:1023,normalUser,Fighting:1046,leithwalton,2021-01-22 19:22:07.951,Gli sfollati,leithwalton,no description
Educational:1094,normalUser,Trains:1034,adhicipta,2021-01-22 19:22:07.026,Pisammare,adhicipta,no description
World War II: 1049,normalUser,Animals:1089,minori,2021-01-22 19:22:12.601,Bel gruppo,minori,no description
Dice:1017,normalUser,Collectible Components:1044,franklinrabbit,2021-01-22 19:21:57.914,Bel gruppo,franklinrabbit,no description
Word-game:1025,normalUser,Fantasy:1010,bonairious,2021-01-22 19:21:57.242,Quelli di sempre,no description,bonairious
Modern Warfare:1069,normalUser,World War II: 1049,arutgers03,2021-01-22 19:22:08.559,Bel gruppo,arutgers03,no description
Card Game:1002,normalUser,Number:1098,rubcar91,2021-01-22 19:22:10.674,Quelli di sempre,no description,rubcar91
Exploration:1020,normalUser,Napoleonic:1051,devinolsen,2021-01-22 19:22:12.696,Pisammare,devinolsen,no description
Video Game Theme:1101,normalUser,Puzzle:1028,adridevil,2021-01-22 19:22:11.117,Pisammare,adridevil,no description
Real-time:1037,normalUser,World War II: 1049,naptown jim,2021-01-22 19:22:06.763,Cimone 2k16,naptown jim,no description
Sports:1038,normalUser,Book:1117,asmdemon,2021-01-22 19:21:57.528,Quelli di sempre,no description,asmdemon
Novel-Based:1093,moderator,Action/Dexterity:1032,manius,2021-01-22 19:22:11.717,Bel gruppo,manius,no description
Card Game:1002,influencer,Real-time:1037,andrelsco,2021-01-22 19:22:08.277,Quelli di sempre,no description,andrelsco
Party Game:1030,normalUser,Dice:1017,piratedave84,2021-01-22 19:21:53.146,Quelli di sempre,no description,piratedave84
Murder/Mystery:1040,influencer,Economic:1021,overthetop,2021-01-22 19:21:54.64,Cimone 2k16,overthetop,no description
Party Game:1030,normalUser,Deduction:1039,vynshade,2021-01-22 19:22:01.976,Cimone 2k16,vynshade,no description
Aviation/Flight:2650,normalUser,Party Game:1030,thewarriorbear,2021-01-22 19:21:57.837,Pisammare,thewarriorbear,no description
Deduction:1039,normalUser,Movies/TV/Radio Theme:1064,legrandmenteur,2021-01-22 19:21:53.834,Gli sfollati,legrandmenteur,no description
Puzzle:1028,normalUser,Napoleonic:1051,semicolon42,2021-01-22 19:21:59.991,Gli sfollati,semicolon42,no description
Fantasy:1010,normalUser,Deduction:1039,adrianapm,2021-01-22 19:21:58.388,Pisammare,adrianapm,no description
Aviation/Flight:2650,normalUser,Dice:1017,dante_ventrue,2021-01-22 19:22:00.1,Cimone 2k16,dante_ventrue,no description
Negotiation:1026,normalUser,Modern Warfare:1069,alexanderfranc,2021-01-22 19:22:02.834,Quelli di sempre,no description,alexanderfranc
Novel-Based:1093,normalUser,Adventure:1022,kujaku,2021-01-22 19:22:02.257,Pisammare,kujaku,no description
Medical:2145,normalUser,Modern Warfare:1069,josdelage,2021-01-22 19:22:03.455,Bel gruppo,josdelage,no description
Animals:1089,normalUser,Puzzle:1028,boardgamenerd5390,2021-01-22 19:21:57.043,Pisammare,boardgamenerd5390,no description
Napoleonic:1051,normalUser,Racing:1031,robber baron,2021-01-22 19:22:10.062,Pisammare,robber baron,no description
Dice:1017,normalUser,Word-game:1025,hellomynameisrob,2021-01-22 19:21:53.646,Bel gruppo,hellomynameisrob,no description
Collectible Components:1044,normalUser,Exploration:1020,demuxer,2021-01-22 19:21:53.226,Cimone 2k16,demuxer,no description
Wargame:1019,normalUser,Bluffing:1023,jrmod,2021-01-22 19:21:59.008,Pisammare,jrmod,no description
Territory Building:1086,normalUser,Napoleonic:1051,demersadam,2021-01-22 19:21:59.725,Cimone 2k16,demersadam,no description
Science Fiction:1016,normalUser,Spies/Secret Agents:1081,amersham,2021-01-22 19:21:59.261,Pisammare,amersham,no description
Dice:1017,normalUser,Napoleonic:1051,kalavera,2021-01-22 19:21:56.9,Cimone 2k16,kalavera,no description
Word-game:1025,influencer,Trains:1034,silcabad,2021-01-22 19:22:06.6,Pisammare,silcabad,no description
Territory Building:1086,normalUser,Travel:1097,paddleballfluscles,2021-01-22 19:21:55.73,Quelli di sempre,paddleballfluscles,no description
Real-time:1037,normalUser,Zombies:2481,pescadete,2021-01-22 19:21:53.523,Pisammare,pescadete,no description
Animals:1089,normalUser,Action/Dexterity:1032,coreykellerokc,2021-01-22 19:22:03.727,Gli sfollati,coreykellerokc,no description
Children's Game:1041,normalUser,Video Game Theme:1101,rebuscarnival,2021-01-22 19:22:09.941,Gli sfollati,rebuscarnival,no description
Animals:1089,normalUser,Wargame:1019,sheffik,2021-01-22 19:21:56.554,Cimone 2k16,sheffik,no description
Wargame:1019,normalUser,Territory Building:1086,madmarks,2021-01-22 19:22:04.146,Pisammare,madmarks,no description
Real-time:1037,normalUser,Word-game:1025,freebee1963,2021-01-22 19:22:13.029,Gli sfollati,freebee1963,no description
Wargame:1019,normalUser,Dice:1017,golikua,2021-01-22 19:22:01.685,Bel gruppo,golikua,no description
Puzzle:1028,normalUser,Science Fiction:1016,pinetree,2021-01-22 19:22:07.923,Cimone 2k16,pinetree,no description
Modern Warfare:1069,normalUser,Murder/Mystery:1040,deftly,2021-01-22 19:22:02.846,Quelli di sempre,no description,deftly
Transportation:1011,normalUser,Collectible Components:1044,bellastellaria,2021-01-22 19:22:02.821,Quelli di sempre,no description,bellastellaria
Transportation:1011,normalUser,Collectible Components:1044,bellastellaria,2021-01-22 19:21:57.321,Pisammare,bellastellaria,no description
Children's Game:1041,normalUser,Card Game:1002,calang,2021-01-22 19:21:59.923,Quelli di sempre,no description,calang
Deduction:1039,normalUser,Memory:1045,napattack,2021-01-22 19:22:02.645,Bel gruppo,napattack,no description
Video Game Theme:1101,normalUser,Puzzle:1028,hanythegamer,2021-01-22 19:22:11.883,Cimone 2k16,hanythegamer,no description
Modern Warfare:1069,normalUser,Puzzle:1028,gentille,2021-01-22 19:22:05.234,Pisammare,gentille,no description
Novel-Based:1093,normalUser,Dice:1017,simijon,2021-01-22 19:21:55.991,Quelli di sempre,no description,simijon
Spies/Secret Agents:1081,normalUser,Economic:1021,angelg01,2021-01-22 19:22:10.7,Pisammare,angelg01,no description
Medieval:1035,normalUser,Animals:1089,funkygamesninja,2021-01-22 19:21:56.361,Pisammare,funkygamesninja,no description
Economic:1021,normalUser,Video Game Theme:1101,tricky_fox,2021-01-22 19:21:59.659,Pisammare,tricky_fox,no description
