category2,role,category1,username,timestamp,category2-2,role-2,category1-2,username-2
Puzzle:1028,normalUser,Humor:1079,milkcalsium,2021-01-22 19:21:37.579,Action/Dexterity:1032,normalUser,Napoleonic:1051,tapwater12
Transportation:1011,influencer,Card Game:1002,ibnfaldan,2021-01-22 19:21:07.112,Action/Dexterity:1032,normalUser,Educational:1094,allatoona1864
Science Fiction:1016,normalUser,Negotiation:1026,kenderthane,2021-01-22 19:21:40.044,Word-game:1025,normalUser,Deduction:1039,superstars
Zombies:2481,normalUser,Deduction:1039,franz7,2021-01-22 19:21:07.424,Transportation:1011,normalUser,Number:1098,teddyelf
Negotiation:1026,normalUser,Movies/TV/Radio Theme:1064,tickbite,2021-01-22 19:21:31.444,Deduction:1039,normalUser,Sports:1038,banestonakano
Number:1098,normalUser,Card Game:1002,berniesalti,2021-01-22 19:21:10.991,Memory:1045,normalUser,Print & Play:1120,toregualto
Book:1117,normalUser,Video Game Theme:1101,lucasdp,2021-01-22 19:21:30.376,Negotiation:1026,normalUser,Zombies:2481,therock32
Napoleonic:1051,normalUser,Zombies:2481,josan89,2021-01-22 19:21:44.838,Bluffing:1023,normalUser,Trains:1034,bark
Trains:1034,normalUser,Territory Building:1086,blendwerk,2021-01-22 19:21:19.149,Bluffing:1023,normalUser,Trains:1034,bark
Adventure:1022,influencer,Travel:1097,orensh,2021-01-22 19:21:07.018,Transportation:1011,normalUser,Modern Warfare:1069,halfbl00d
Deduction:1039,normalUser,Travel:1097,remleduff,2021-01-22 19:21:26.454,Economic:1021,normalUser,Word-game:1025,pixteca
Trains:1034,normalUser,Humor:1079,suppenkazper,2021-01-22 19:21:52.409,World War II: 1049,normalUser,Collectible Components:1044,kingspud
Action/Dexterity:1032,normalUser,Bluffing:1023,ctpayc,2021-01-22 19:21:18.452,Bluffing:1023,normalUser,Movies/TV/Radio Theme:1064,thejarvin
Wargame:1019,normalUser,Animals:1089,michaelparnell,2021-01-22 19:21:42.25,Deduction:1039,influencer,Modern Warfare:1069,tom chase
Travel:1097,normalUser,Novel-Based:1093,julian paleolog,2021-01-22 19:21:02.341,World War II: 1049,normalUser,Transportation:1011,caekles
Puzzle:1028,normalUser,Negotiation:1026,kobkob,2021-01-22 19:21:24.338,Medical:2145,normalUser,Travel:1097,mendellee
Movies/TV/Radio Theme:1064,normalUser,Science Fiction:1016,legionnaire69,2021-01-22 19:21:11.855,Modern Warfare:1069,normalUser,Party Game:1030,thecruncher
Dice:1017,normalUser,Children's Game:1041,kjaaron07,2021-01-22 19:21:32.009,Aviation/Flight:2650,normalUser,Negotiation:1026,nehilism
Puzzle:1028,influencer,Animals:1089,laurencedkw,2021-01-22 19:21:25.444,Murder/Mystery:1040,normalUser,Sports:1038,incompetentkiteflyin
Fighting:1046,normalUser,Action/Dexterity:1032,mazout2,2021-01-22 19:21:23.954,Modern Warfare:1069,normalUser,Negotiation:1026,abcdef1234560907442
Science Fiction:1016,normalUser,Exploration:1020,wormthered,2021-01-22 19:21:15.149,Spies/Secret Agents:1081,normalUser,Travel:1097,captain_akula
Card Game:1002,normalUser,Transportation:1011,citywithoutmen,2021-01-22 19:21:23.252,Book:1117,normalUser,Deduction:1039,capman
Napoleonic:1051,normalUser,Adventure:1022,jgryphon,2021-01-22 19:21:48.435,Territory Building:1086,normalUser,Murder/Mystery:1040,old_sarge_84
Print & Play:1120,normalUser,Adventure:1022,disgeae,2021-01-22 19:21:51.89,Racing:1031,normalUser,Educational:1094,carmanm
Animals:1089,normalUser,Real-time:1037,cucaverda,2021-01-22 19:21:00.494,Zombies:2481,normalUser,Dice:1017,liberto87
Deduction:1039,influencer,Racing:1031,desant17,2021-01-22 19:21:15.688,Novel-Based:1093,normalUser,Modern Warfare:1069,kkbreit
Territory Building:1086,normalUser,Trains:1034,kebomarcuet,2021-01-22 19:21:34.007,Real-time:1037,normalUser,Card Game:1002,chaiyutbutchai
Modern Warfare:1069,normalUser,Wargame:1019,escgar,2021-01-22 19:21:17.598,Party Game:1030,normalUser,Real-time:1037,teo pro
Medical:2145,normalUser,Spies/Secret Agents:1081,decebo,2021-01-22 19:21:34.446,Negotiation:1026,normalUser,Word-game:1025,icelook62
Deduction:1039,normalUser,Racing:1031,cameroon,2021-01-22 19:21:26.441,Negotiation:1026,normalUser,Word-game:1025,icelook62
Memory:1045,normalUser,Card Game:1002,accent_circonflexe,2021-01-22 19:21:02.193,Children's Game:1041,normalUser,Modern Warfare:1069,xzamzax
Exploration:1020,normalUser,Wargame:1019,larsholgerroth,2021-01-22 19:21:42.87,Number:1098,normalUser,Real-time:1037,darktime5
Children's Game:1041,normalUser,Modern Warfare:1069,xzamzax,2021-01-22 19:21:13.674,Aviation/Flight:2650,normalUser,Card Game:1002,luin_pl
Puzzle:1028,normalUser,Dice:1017,adepss1,2021-01-22 19:21:10.672,Video Game Theme:1101,normalUser,Ancient:1050,kothelion
Trains:1034,normalUser,Memory:1045,ardel22,2021-01-22 19:21:18.045,Ancient:1050,normalUser,Medieval:1035,switte83
Dice:1017,normalUser,Medieval:1035,kingmoeha,2021-01-22 19:21:17.831,Travel:1097,normalUser,Novel-Based:1093,julian paleolog
Educational:1094,normalUser,Abstact Strategy:1009,playsequel2k19,2021-01-22 19:21:50.308,Napoleonic:1051,normalUser,Video Game Theme:1101,soler108
Negotiation:1026,normalUser,Movies/TV/Radio Theme:1064,skinnygodfather,2021-01-22 19:21:27.813,Spies/Secret Agents:1081,normalUser,Print & Play:1120,derjukee
Dice:1017,normalUser,Movies/TV/Radio Theme:1064,bailo_serenissima,2021-01-22 19:21:27.348,Action/Dexterity:1032,normalUser,Real-time:1037,reapinwombat
Puzzle:1028,normalUser,Humor:1079,ando79,2021-01-22 19:21:38.549,Educational:1094,normalUser,Trains:1034,alessandrogargiulo
Fantasy:1010,normalUser,World War II: 1049,pinoyed,2021-01-22 19:21:44.685,Trains:1034,normalUser,Deduction:1039,fusseymoore
Exploration:1020,normalUser,Negotiation:1026,christalon,2021-01-22 19:21:36.721,Zombies:2481,influencer,Racing:1031,pillboxjen
Bluffing:1023,normalUser,Action/Dexterity:1032,brettspielmann,2021-01-22 19:21:28.842,Children's Game:1041,influencer,Video Game Theme:1101,keileukekristel
World War II: 1049,normalUser,Ancient:1050,dinos,2021-01-22 19:21:46.563,Real-time:1037,normalUser,Party Game:1030,never_kneels
Novel-Based:1093,normalUser,Real-time:1037,arun_michael,2021-01-22 19:21:12.46,Ancient:1050,normalUser,Fantasy:1010,menageriecollective
Book:1117,normalUser,Children's Game:1041,chop uk,2021-01-22 19:21:14.674,Miniatures:1047,normalUser,Party Game:1030,ducksboy
Number:1098,normalUser,Racing:1031,buddy71,2021-01-22 19:21:24.075,Dice:1017,normalUser,Educational:1094,dgfitch
Real-time:1037,normalUser,Wargame:1019,iloveus,2021-01-22 19:21:19.644,Educational:1094,normalUser,Number:1098,oblivion11
Puzzle:1028,normalUser,Animals:1089,qiming454,2021-01-22 19:21:37.516,Card Game:1002,normalUser,Napoleonic:1051,peaceful_dragon
Spies/Secret Agents:1081,normalUser,Number:1098,milan_747,2021-01-22 19:21:07.947,Educational:1094,normalUser,Transportation:1011,thesonoftherock
Abstact Strategy:1009,influencer,Miniatures:1047,tomwh65,2021-01-22 19:21:34.38,Real-time:1037,influencer,Napoleonic:1051,fritolay
Travel:1097,normalUser,Science Fiction:1016,fusedcrane,2021-01-22 19:21:47.601,Territory Building:1086,normalUser,Modern Warfare:1069,richieb
Economic:1021,normalUser,Sports:1038,robbyw,2021-01-22 19:21:39.534,Collectible Components:1044,normalUser,Puzzle:1028,pohrawg
Science Fiction:1016,normalUser,Fantasy:1010,swarmingzebras,2021-01-22 19:21:22.325,Zombies:2481,normalUser,Napoleonic:1051,ocenteno
Abstact Strategy:1009,normalUser,Trains:1034,mrsspliff,2021-01-22 19:21:27.686,Bluffing:1023,normalUser,Puzzle:1028,norrigan
Adventure:1022,normalUser,Print & Play:1120,enjoymath,2021-01-22 19:21:46.985,Aviation/Flight:2650,normalUser,Murder/Mystery:1040,mac1989
Book:1117,normalUser,Racing:1031,hr. mortensen,2021-01-22 19:21:45.199,Children's Game:1041,influencer,Animals:1089,matthues
Adventure:1022,normalUser,Travel:1097,solocup,2021-01-22 19:21:10.28,Medical:2145,normalUser,Trains:1034,traianus
Transportation:1011,normalUser,Word-game:1025,cokanan,2021-01-22 19:21:45.561,Bluffing:1023,normalUser,Word-game:1025,scytale82
Territory Building:1086,normalUser,Children's Game:1041,khanhdz,2021-01-22 19:21:49.715,Science Fiction:1016,normalUser,Aviation/Flight:2650,peterpotente
Abstact Strategy:1009,influencer,Puzzle:1028,captainuzbekistan,2021-01-22 19:21:50.526,Wargame:1019,normalUser,Medical:2145,bj_yaruki
Adventure:1022,normalUser,Modern Warfare:1069,armorb,2021-01-22 19:21:06.43,Deduction:1039,normalUser,Wargame:1019,idkenning
Humor:1079,normalUser,Deduction:1039,chris2x,2021-01-22 19:21:17.495,Children's Game:1041,normalUser,Memory:1045,dm_dungeon
Trains:1034,normalUser,Adventure:1022,lilipapa,2021-01-22 19:21:29.089,Negotiation:1026,normalUser,Word-game:1025,peavybob
Miniatures:1047,normalUser,Murder/Mystery:1040,andrea1664,2021-01-22 19:21:31.69,Transportation:1011,normalUser,Abstact Strategy:1009,homasti
Dice:1017,normalUser,Number:1098,griska,2021-01-22 19:21:29.063,Aviation/Flight:2650,normalUser,Fantasy:1010,noporunner68
Humor:1079,normalUser,Animals:1089,beldaran,2021-01-22 19:21:09.681,Wargame:1019,normalUser,Puzzle:1028,sqra82
Word-game:1025,normalUser,Wargame:1019,perikles42,2021-01-22 19:21:51.849,Humor:1079,influencer,Murder/Mystery:1040,mirhabib_alireza
Abstact Strategy:1009,normalUser,Animals:1089,critical_miss,2021-01-22 19:20:59.495,Real-time:1037,normalUser,Puzzle:1028,sergisan
Science Fiction:1016,normalUser,Puzzle:1028,olann,2021-01-22 19:21:31.457,Aviation/Flight:2650,normalUser,Memory:1045,dreamie
Novel-Based:1093,influencer,Racing:1031,celloman,2021-01-22 19:21:25.486,Fantasy:1010,normalUser,Puzzle:1028,raeley
Fantasy:1010,normalUser,Murder/Mystery:1040,hefellump,2021-01-22 19:21:11.308,Puzzle:1028,normalUser,Zombies:2481,invictus89
Travel:1097,influencer,Medical:2145,wjfargo,2021-01-22 19:21:51.916,Modern Warfare:1069,normalUser,Number:1098,caustik
Adventure:1022,normalUser,Medieval:1035,willywestwood,2021-01-22 19:21:24.51,Card Game:1002,normalUser,Abstact Strategy:1009,aws260
Travel:1097,normalUser,Children's Game:1041,portlandgamecraft,2021-01-22 19:21:34.894,Puzzle:1028,normalUser,Real-time:1037,krischii
Wargame:1019,normalUser,Medical:2145,bobbasky,2021-01-22 19:21:34.654,Dice:1017,normalUser,Educational:1094,gamer33
Miniatures:1047,influencer,Word-game:1025,g1zmothegreat,2021-01-22 19:21:03.998,Video Game Theme:1101,normalUser,Adventure:1022,bnolan
Ancient:1050,normalUser,Deduction:1039,jyotipar,2021-01-22 19:21:31.564,Animals:1089,influencer,Educational:1094,bard1790
Bluffing:1023,normalUser,Modern Warfare:1069,gondorwarrior,2021-01-22 19:21:05.823,Aviation/Flight:2650,moderator,Movies/TV/Radio Theme:1064,fallouthun
Puzzle:1028,normalUser,Action/Dexterity:1032,postalnik,2021-01-22 19:21:32.664,Party Game:1030,normalUser,Fighting:1046,cheamuok
Medical:2145,normalUser,World War II: 1049,haihappen,2021-01-22 19:21:00.508,Word-game:1025,normalUser,Print & Play:1120,thegryphon
Miniatures:1047,normalUser,Children's Game:1041,sotiris89,2021-01-22 19:21:15.662,Party Game:1030,normalUser,Aviation/Flight:2650,stashgordon36
Video Game Theme:1101,normalUser,Medical:2145,dega11,2021-01-22 19:21:15.199,Real-time:1037,normalUser,Card Game:1002,gentleman_gamemaster
Word-game:1025,normalUser,Exploration:1020,canerive,2021-01-22 19:21:47.81,Bluffing:1023,normalUser,Racing:1031,topthriller
Memory:1045,normalUser,World War II: 1049,pisit28,2021-01-22 19:21:17.3,Action/Dexterity:1032,normalUser,Ancient:1050,madaoblooms
Children's Game:1041,normalUser,Video Game Theme:1101,lycanhead,2021-01-22 19:21:03.93,Miniatures:1047,normalUser,Novel-Based:1093,poit
Aviation/Flight:2650,influencer,Medical:2145,jager38,2021-01-22 19:21:16.506,Medieval:1035,normalUser,Puzzle:1028,sinden
Real-time:1037,influencer,Ancient:1050,trippstowe,2021-01-22 19:21:05.223,Deduction:1039,normalUser,Medical:2145,kazan
Deduction:1039,normalUser,Murder/Mystery:1040,iced_mocha,2021-01-22 19:21:30.154,Action/Dexterity:1032,moderator,Animals:1089,dchamber
Bluffing:1023,influencer,Medieval:1035,silvisilvs,2021-01-22 19:21:25.348,Action/Dexterity:1032,moderator,Animals:1089,dchamber
Sports:1038,normalUser,Travel:1097,il mago di floz,2021-01-22 19:21:03.223,Book:1117,normalUser,Miniatures:1047,raonipires
Memory:1045,normalUser,Exploration:1020,manwhosoldtheworld,2021-01-22 19:21:52.301,Abstact Strategy:1009,normalUser,Medical:2145,djir
Exploration:1020,normalUser,Spies/Secret Agents:1081,spatialyst,2021-01-22 19:21:45.914,Modern Warfare:1069,normalUser,Puzzle:1028,jannoxy
Science Fiction:1016,normalUser,Trains:1034,kraina_nadziei,2021-01-22 19:21:27.19,Zombies:2481,normalUser,Fighting:1046,aiolitowhead
Word-game:1025,influencer,Children's Game:1041,elfyr,2021-01-22 19:21:13.864,Zombies:2481,normalUser,Modern Warfare:1069,ally gold
Travel:1097,influencer,Trains:1034,lekly,2021-01-22 19:21:37.186,Humor:1079,normalUser,Dice:1017,nkfloofiepoof
Science Fiction:1016,normalUser,Aviation/Flight:2650,rndm,2021-01-22 19:21:35.622,Bluffing:1023,normalUser,Humor:1079,smackel
Book:1117,normalUser,Adventure:1022,zsadist,2021-01-22 19:21:08.512,Bluffing:1023,normalUser,Medical:2145,ttt114514
Party Game:1030,normalUser,Modern Warfare:1069,marinalatvia,2021-01-22 19:21:05.08,Print & Play:1120,normalUser,Ancient:1050,alisminicoop
Book:1117,normalUser,Dice:1017,rilmariel,2021-01-22 19:21:09.168,Abstact Strategy:1009,normalUser,Racing:1031,ezrafelds89
Science Fiction:1016,normalUser,Party Game:1030,thedalailala,2021-01-22 19:21:50.865,Word-game:1025,normalUser,Modern Warfare:1069,clove5683
World War II: 1049,normalUser,Sports:1038,makioka,2021-01-22 19:21:39.735,World War II: 1049,normalUser,Wargame:1019,elle20202020
Miniatures:1047,influencer,Travel:1097,startripper,2021-01-22 19:21:05.318,Trains:1034,normalUser,Ancient:1050,camulonus
Ancient:1050,normalUser,Humor:1079,derkleineprinz,2021-01-22 19:21:16.739,Miniatures:1047,normalUser,Fighting:1046,turtleluvr
Spies/Secret Agents:1081,normalUser,Ancient:1050,nerdgyrl90,2021-01-22 19:21:31.958,Dice:1017,normalUser,Humor:1079,timgremore
Medical:2145,normalUser,Puzzle:1028,paperboysmd,2021-01-22 19:21:50.399,Real-time:1037,influencer,Abstact Strategy:1009,buzuk
Sports:1038,normalUser,Spies/Secret Agents:1081,kitsuaeryn,2021-01-22 19:21:20.503,Real-time:1037,influencer,Abstact Strategy:1009,buzuk
Word-game:1025,normalUser,Action/Dexterity:1032,tallgaloot,2021-01-22 19:21:18.216,Exploration:1020,normalUser,Aviation/Flight:2650,susangamer
Word-game:1025,normalUser,Science Fiction:1016,dietrich_von_kloc,2021-01-22 19:21:45.951,Racing:1031,normalUser,Trains:1034,smckenna
Economic:1021,influencer,Novel-Based:1093,redplanet,2021-01-22 19:21:30.126,Novel-Based:1093,normalUser,Racing:1031,gatoeneltablero
Zombies:2481,normalUser,Abstact Strategy:1009,papamaus,2021-01-22 19:21:27.243,Modern Warfare:1069,normalUser,Deduction:1039,ignaciomiranda
Animals:1089,normalUser,Party Game:1030,elucidarian,2021-01-22 19:21:31.253,Number:1098,normalUser,Deduction:1039,sprd
Card Game:1002,normalUser,Fantasy:1010,uncle_l,2021-01-22 19:21:01.964,Video Game Theme:1101,normalUser,Negotiation:1026,robolithic
Science Fiction:1016,normalUser,Modern Warfare:1069,tlei31,2021-01-22 19:21:14.97,Ancient:1050,normalUser,Fighting:1046,johnwad
Wargame:1019,normalUser,Deduction:1039,quirken,2021-01-22 19:21:21.998,Aviation/Flight:2650,normalUser,Humor:1079,duhusker
Puzzle:1028,normalUser,Bluffing:1023,rasti95,2021-01-22 19:21:50.244,Bluffing:1023,normalUser,Medieval:1035,achilles1910
Card Game:1002,normalUser,Memory:1045,hollymatronic,2021-01-22 19:21:07.348,Humor:1079,normalUser,Travel:1097,badbin
Racing:1031,normalUser,Bluffing:1023,roughdraftgames,2021-01-22 19:21:51.736,Territory Building:1086,influencer,Collectible Components:1044,wiggyrammel
Economic:1021,normalUser,Party Game:1030,underwater,2021-01-22 19:21:00.824,Memory:1045,normalUser,Movies/TV/Radio Theme:1064,sgmills
Card Game:1002,normalUser,Ancient:1050,sporky donkey,2021-01-22 19:21:41.081,Novel-Based:1093,normalUser,Word-game:1025,mr_rollup
Exploration:1020,normalUser,Educational:1094,wisefrogrc,2021-01-22 19:21:38.209,Napoleonic:1051,normalUser,Modern Warfare:1069,szypek
Print & Play:1120,normalUser,Trains:1034,starjen05,2021-01-22 19:21:49.378,Murder/Mystery:1040,normalUser,Modern Warfare:1069,alaste
Sports:1038,normalUser,Modern Warfare:1069,spielkamerad,2021-01-22 19:21:26.096,Murder/Mystery:1040,normalUser,Modern Warfare:1069,alaste
Novel-Based:1093,normalUser,Exploration:1020,heyzeus894,2021-01-22 19:21:34.151,Medieval:1035,normalUser,Number:1098,eitel
Book:1117,normalUser,Puzzle:1028,waitingtoderail,2021-01-22 19:20:59.543,Movies/TV/Radio Theme:1064,normalUser,Card Game:1002,leafly
Animals:1089,normalUser,Deduction:1039,nottingham,2021-01-22 19:21:47.197,Print & Play:1120,influencer,Animals:1089,kareds
Napoleonic:1051,normalUser,Children's Game:1041,tkpope,2021-01-22 19:21:15.962,Novel-Based:1093,normalUser,Video Game Theme:1101,riordan5
Economic:1021,normalUser,Real-time:1037,fredthefred,2021-01-22 19:21:14.865,Puzzle:1028,normalUser,Bluffing:1023,frontlinethegame
Medical:2145,normalUser,Humor:1079,sorrynametaken,2021-01-22 19:21:10.862,Fighting:1046,normalUser,Wargame:1019,phasedone
Racing:1031,normalUser,Children's Game:1041,remke_a,2021-01-22 19:21:39.624,Book:1117,normalUser,Print & Play:1120,ildiko22
Humor:1079,influencer,World War II: 1049,apoy2k,2021-01-22 19:21:13.775,Children's Game:1041,normalUser,Real-time:1037,flili
Abstact Strategy:1009,normalUser,Party Game:1030,tonycxl,2021-01-22 19:21:17.132,Educational:1094,normalUser,Humor:1079,mrmike555
Puzzle:1028,normalUser,Medieval:1035,bjorn79,2021-01-22 19:21:42.342,World War II: 1049,influencer,Print & Play:1120,andyyi
Novel-Based:1093,normalUser,Dice:1017,crowsea,2021-01-22 19:21:19.186,Humor:1079,normalUser,Print & Play:1120,nekron66
Puzzle:1028,normalUser,Book:1117,eman68,2021-01-22 19:21:18.888,Book:1117,normalUser,Economic:1021,krasty_cz
Trains:1034,influencer,Print & Play:1120,circ1,2021-01-22 19:21:03.083,Collectible Components:1044,normalUser,Aviation/Flight:2650,puck10114
Aviation/Flight:2650,normalUser,Action/Dexterity:1032,txler,2021-01-22 19:21:33.193,Medical:2145,normalUser,Science Fiction:1016,martinkalmar
Wargame:1019,influencer,Aviation/Flight:2650,jan matura,2021-01-22 19:21:35.32,Medieval:1035,normalUser,Sports:1038,dopestoop92
Ancient:1050,normalUser,Novel-Based:1093,wiligelmo,2021-01-22 19:21:49.314,Movies/TV/Radio Theme:1064,normalUser,Animals:1089,nathaneverett
Puzzle:1028,normalUser,Video Game Theme:1101,che22,2021-01-22 19:21:05.665,Adventure:1022,normalUser,Negotiation:1026,crosswayboy
Medical:2145,normalUser,Puzzle:1028,tatzi,2021-01-22 19:21:40.119,Medieval:1035,normalUser,Print & Play:1120,mighty_owl
Card Game:1002,normalUser,Humor:1079,ploovz,2021-01-22 19:21:26.467,Number:1098,normalUser,Sports:1038,zezilav
Medical:2145,normalUser,Movies/TV/Radio Theme:1064,krsnaji,2021-01-22 19:21:33.606,Print & Play:1120,normalUser,Novel-Based:1093,maserv
Dice:1017,normalUser,Educational:1094,oddtime,2021-01-22 19:21:36.602,Word-game:1025,normalUser,Collectible Components:1044,fantseepants
Novel-Based:1093,normalUser,Aviation/Flight:2650,alexsem6,2021-01-22 19:21:50.645,Puzzle:1028,influencer,Modern Warfare:1069,tinfox
World War II: 1049,normalUser,Abstact Strategy:1009,makulator,2021-01-22 19:21:44.795,Novel-Based:1093,normalUser,Puzzle:1028,niccolas
Ancient:1050,normalUser,Action/Dexterity:1032,klament31,2021-01-22 19:21:21.027,Novel-Based:1093,normalUser,Puzzle:1028,niccolas
Transportation:1011,normalUser,Number:1098,wellplayedtabletop,2021-01-22 19:21:22.836,Puzzle:1028,moderator,Deduction:1039,gameosx
Educational:1094,normalUser,Print & Play:1120,swatterx,2021-01-22 19:21:23.07,Medieval:1035,normalUser,Memory:1045,miqo
Collectible Components:1044,normalUser,Card Game:1002,redkat420,2021-01-22 19:21:38.621,Travel:1097,normalUser,Bluffing:1023,salironth
Ancient:1050,normalUser,Exploration:1020,soundfishsimulations,2021-01-22 19:21:23.548,Territory Building:1086,influencer,World War II: 1049,bogdani0405
Negotiation:1026,influencer,Puzzle:1028,legolas2010,2021-01-22 19:21:30.729,Transportation:1011,influencer,Aviation/Flight:2650,pieterschutz
Trains:1034,normalUser,Puzzle:1028,peterchayward,2021-01-22 19:21:05.48,Ancient:1050,normalUser,Sports:1038,jaw6
Children's Game:1041,normalUser,Novel-Based:1093,generalmac,2021-01-22 19:21:33.353,Science Fiction:1016,normalUser,Racing:1031,arcadebox
Economic:1021,normalUser,Abstact Strategy:1009,heyalbqrq,2021-01-22 19:21:12.93,Dice:1017,normalUser,Adventure:1022,bbsaverkig
Economic:1021,normalUser,Ancient:1050,lionel_ritchie,2021-01-22 19:21:08.581,Sports:1038,normalUser,Aviation/Flight:2650,twosi
Napoleonic:1051,normalUser,Puzzle:1028,yavalion,2021-01-22 19:21:37.594,Print & Play:1120,normalUser,Ancient:1050,antares62
Video Game Theme:1101,influencer,Economic:1021,przemos34,2021-01-22 19:21:36.358,Science Fiction:1016,normalUser,Print & Play:1120,lsallen1000
Wargame:1019,normalUser,Animals:1089,jostrom,2021-01-22 19:21:14.073,Science Fiction:1016,normalUser,Exploration:1020,markmasta
Animals:1089,influencer,Spies/Secret Agents:1081,cpt butch flowers,2021-01-22 19:21:08.7,Educational:1094,normalUser,Murder/Mystery:1040,pppalma
Negotiation:1026,normalUser,Fighting:1046,tiorpozo,2021-01-22 19:21:19.565,Science Fiction:1016,normalUser,Zombies:2481,kblp15
Number:1098,normalUser,Science Fiction:1016,peculiar23,2021-01-22 19:21:10.136,Memory:1045,normalUser,Real-time:1037,sriber
Bluffing:1023,normalUser,Murder/Mystery:1040,janjer,2021-01-22 19:21:14.414,Number:1098,normalUser,Adventure:1022,scharlatax
Transportation:1011,normalUser,Dice:1017,jeroenh,2021-01-22 19:21:31.592,Exploration:1020,normalUser,Racing:1031,michails
Travel:1097,normalUser,Novel-Based:1093,julian paleolog,2021-01-22 19:21:43.251,Party Game:1030,normalUser,Transportation:1011,danpaine
Medieval:1035,influencer,Children's Game:1041,smllmn,2021-01-22 19:21:41.709,Trains:1034,normalUser,Word-game:1025,aboardgamebarrage
Fantasy:1010,normalUser,Medical:2145,captainburnside,2021-01-22 19:21:00.851,Party Game:1030,normalUser,Napoleonic:1051,spacephilosopher
Racing:1031,normalUser,Miniatures:1047,kchang,2021-01-22 19:21:00.367,Wargame:1019,influencer,Book:1117,ankie900
Modern Warfare:1069,normalUser,Medieval:1035,aurara,2021-01-22 19:21:11.525,Party Game:1030,normalUser,Sports:1038,bbhoff
Card Game:1002,influencer,Collectible Components:1044,joekolade,2021-01-22 19:21:22.18,Collectible Components:1044,influencer,Book:1117,kathydudley
Abstact Strategy:1009,normalUser,Territory Building:1086,sleuck,2021-01-22 19:21:38.063,Card Game:1002,normalUser,Territory Building:1086,wafflesnsegways
Humor:1079,normalUser,Abstact Strategy:1009,phetishz,2021-01-22 19:21:29.618,Puzzle:1028,normalUser,Negotiation:1026,mikedv34
Ancient:1050,normalUser,Educational:1094,clockwork design,2021-01-22 19:21:25.835,Transportation:1011,normalUser,Medical:2145,krzychus
Economic:1021,normalUser,Humor:1079,helloduck,2021-01-22 19:21:02.503,Book:1117,influencer,Ancient:1050,justacynic
Medieval:1035,normalUser,Zombies:2481,pizzaaroma,2021-01-22 19:21:19.136,Fighting:1046,normalUser,Book:1117,butler09
Video Game Theme:1101,normalUser,Medical:2145,goby,2021-01-22 19:21:00.41,Ancient:1050,influencer,Spies/Secret Agents:1081,fntk
